CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,6,3,0.77217696,0.765936,0.2568,0.0867,0.0867,0.0230,0.85887696,0.852636,0.6108820950733388,0.5246725567350202
32,1,6,3,0.7983626,0.79191,0.2565,0.05538,0.05538,0.0315,0.8537426,0.84729,0.5690347967794991,0.4858092468930012
32,2,6,3,0.76499088,0.758808,0.2633,0.09012,0.09012,0.0335,0.85511088,0.848928,0.6161927914148219,0.5269131601163848
32,3,6,3,0.77762096,0.771336,0.2617,0.0765,0.0765,0.0237,0.85412096,0.847836,0.597434008666884,0.5102809090192073
32,4,6,3,0.78322828,0.776898,0.2616,0.07008,0.07008,0.0201,0.85330828,0.846978,0.5887651821408522,0.5023982048964973
32,5,6,3,0.78850896,0.782136,0.2670,0.06006,0.06006,0.0253,0.84856896,0.842196,0.575729714164188,0.4885463647894023
32,6,6,3,0.79084988,0.784458,0.2661,0.05766,0.05766,0.0485,0.84850988,0.842118,0.5725233933254654,0.4857917557677835
32,7,6,3,0.79476956,0.788346,0.2571,0.05988,0.05988,0.0301,0.85464956,0.848226,0.5749173249684442,0.49135283882065783
32,8,6,3,0.77653216,0.770256,0.2633,0.07536,0.07536,0.0506,0.85189216,0.845616,0.5961413816443512,0.5078481692743907
32,9,6,3,0.78818232,0.781812,0.2667,0.0603,0.0603,0.0410,0.84848232,0.842112,0.5760599598664045,0.48877669120655376
80,0,6,3,0.72475972,0.718902,0.1141,0.21216,0.21216,0.0034,0.93691972,0.931062,0.7696267196714671,0.7210784506991095
80,1,6,3,0.78328272,0.776952,0.1186,0.1467,0.1467,0.0097,0.92998272,0.923652,0.6809417916245247,0.6332640995366488
80,2,6,3,0.72127556,0.715446,0.1254,0.20748,0.20748,0.0314,0.92875556,0.922926,0.7656734788529358,0.7111235006292066
80,3,6,3,0.75170752,0.745632,0.1163,0.18156,0.18156,0.0092,0.93326752,0.927192,0.7282166805205342,0.6796209754520313
80,4,6,3,0.76335768,0.757188,0.1186,0.16716,0.16716,0.0180,0.93051768,0.924348,0.7089598308763628,0.6596996570402656
80,5,6,3,0.76139784,0.755244,0.1188,0.17034,0.17034,0.0042,0.93173784,0.925584,0.7130564767172465,0.6643817014145376
80,6,6,3,0.76667852,0.760482,0.1209,0.16266,0.16266,0.0178,0.92933852,0.923142,0.7030233122553597,0.6533466445368938
80,7,6,3,0.77174144,0.765504,0.1177,0.159,0.159,0.0145,0.93074144,0.924504,0.6976383286628649,0.6493209026188682
80,8,6,3,0.75246968,0.746388,0.1173,0.18066,0.18066,0.0069,0.93312968,0.927048,0.7270042209698521,0.6783892160722473
80,9,6,3,0.78159508,0.775278,0.1180,0.14874,0.14874,0.0064,0.93033508,0.924018,0.6836521282766387,0.6360255574524168
128,0,6,3,0.64190204,0.636714,0.0802,0.30978,0.30978,0.0021,0.95168204,0.946494,0.8914324391596429,0.8483602422216249
128,1,6,3,0.74245272,0.736452,0.0773,0.20418,0.20418,0.0067,0.94663272,0.940632,0.7556712316004063,0.7153431133956425
