simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint airtime fairness
1,6,0,0.79907032,0.792612,0.3351,0.0,0.0,0,0.79907032,0.792612,0.5,0.39953516
2,6,0,0.8054398,0.79893,0.3267,0.0,0.0,0,0.8054398,0.79893,0.5,0.4027199
3,6,0,0.80396992,0.797472,0.3272,0.0,0.0,0,0.80396992,0.797472,0.5,0.40198496
4,6,0,0.80130236,0.794826,0.3315,0.0,0.0,0,0.80130236,0.794826,0.5,0.40065118
5,6,0,0.80358884,0.797094,0.3277,0.0,0.0,0,0.80358884,0.797094,0.5,0.40179442
6,6,0,0.80206452,0.795582,0.3302,0.0,0.0,0,0.80206452,0.795582,0.5,0.40103226
7,6,0,0.8024456,0.79596,0.3305,0.0,0.0,0,0.8024456,0.79596,0.5,0.4012228
8,6,0,0.80152012,0.795042,0.3324,0.0,0.0,0,0.80152012,0.795042,0.5,0.40076006
9,6,0,0.79830816,0.791856,0.3348,0.0,0.0,0,0.79830816,0.791856,0.5,0.39915408
10,6,0,0.80173788,0.795258,0.3318,0.0,0.0,0,0.80173788,0.795258,0.5,0.40086894
1,7,0,0.77364684,0.767394,0.3727,0.0,0.0,0,0.77364684,0.767394,0.5,0.38682342
2,7,0,0.77691324,0.770634,0.3676,0.0,0.0,0,0.77691324,0.770634,0.5,0.38845662
3,7,0,0.77642328,0.770148,0.3684,0.0,0.0,0,0.77642328,0.770148,0.5,0.38821164
4,7,0,0.78159508,0.775278,0.3616,0.0,0.0,0,0.78159508,0.775278,0.5,0.39079754
5,7,0,0.77620552,0.769932,0.3703,0.0,0.0,0,0.77620552,0.769932,0.5,0.38810276
6,7,0,0.78159508,0.775278,0.3628,0.0,0.0,0,0.78159508,0.775278,0.5,0.39079754
7,7,0,0.77451788,0.768258,0.3712,0.0,0.0,0,0.77451788,0.768258,0.5,0.38725894
8,7,0,0.77783872,0.771552,0.3678,0.0,0.0,0,0.77783872,0.771552,0.5,0.38891936
9,7,0,0.77881864,0.772524,0.3673,0.0,0.0,0,0.77881864,0.772524,0.5,0.38940932
10,7,0,0.7779476,0.77166,0.3686,0.0,0.0,0,0.7779476,0.77166,0.5,0.3889738
1,8,0,0.75192528,0.745848,0.4068,0.0,0.0,0,0.75192528,0.745848,0.5,0.37596264
2,8,0,0.75932912,0.753192,0.3956,0.0,0.0,0,0.75932912,0.753192,0.5,0.37966456
3,8,0,0.76003684,0.753894,0.3938,0.0,0.0,0,0.76003684,0.753894,0.5,0.38001842
4,8,0,0.75894804,0.752814,0.3965,0.0,0.0,0,0.75894804,0.752814,0.5,0.37947402
5,8,0,0.7550828,0.74898,0.4016,0.0,0.0,0,0.7550828,0.74898,0.5,0.3775414
6,8,0,0.7572604,0.75114,0.3983,0.0,0.0,0,0.7572604,0.75114,0.5,0.3786302
7,8,0,0.75393956,0.747846,0.4032,0.0,0.0,0,0.75393956,0.747846,0.5,0.37696978
8,8,0,0.7537218,0.74763,0.4030,0.0,0.0,0,0.7537218,0.74763,0.5,0.3768609
9,8,0,0.7542662,0.74817,0.4031,0.0,0.0,0,0.7542662,0.74817,0.5,0.3771331
10,8,0,0.75595384,0.749844,0.4000,0.0,0.0,0,0.75595384,0.749844,0.5,0.37797692
