simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.4875102,0.48357,0.0000,0.4353,0.4353,0.0000,0.9228102,0.91887,0.9968092117505867,0.9198657080574013
2,1,1,0.48810904,0.484164,0.0000,0.43464,0.43464,0.0000,0.92274904,0.918804,0.9966535696073446,0.9196611245677505
3,1,1,0.48761908,0.483678,0.0000,0.43488,0.43488,0.0000,0.92249908,0.918558,0.9967422624881865,0.9194938201424706
4,1,1,0.48473376,0.480816,0.0000,0.43794,0.43794,0.0000,0.92267376,0.918756,0.9974345476449611,0.9203066844294754
5,1,1,0.48838124,0.484434,0.0000,0.43416,0.43416,0.0000,0.92254124,0.918594,0.9965575337695098,0.9193654229350655
6,1,1,0.48767352,0.483732,0.0000,0.43506,0.43506,0.0000,0.92273352,0.918792,0.996759347682607,0.9197432614800758
7,1,1,0.48930672,0.485352,0.0000,0.43362,0.43362,0.0000,0.92292672,0.918972,0.9963726402390357,0.9195789327535532
8,1,1,0.4894156,0.48546,0.0000,0.43338,0.43338,0.0000,0.9227956,0.91884,0.9963261741765688,0.9194054096949713
9,1,1,0.4896878,0.48573,0.0000,0.43242,0.43242,0.0000,0.9221078,0.91815,0.9961577490606228,0.918564830439243
10,1,1,0.48865344,0.484704,0.0000,0.43386,0.43386,0.0000,0.92251344,0.918564,0.9964845389192497,0.919270379905211
1,2,2,0.49142988,0.487458,0.0133,0.4611,0.4611,0.0036,0.95252988,0.948558,0.9989871524752447,0.9515651124687866
2,2,2,0.49230092,0.488322,0.0086,0.46236,0.46236,0.0000,0.95466092,0.950682,0.9990173360652808,0.9537228091440302
3,2,2,0.49850708,0.494478,0.0136,0.45444,0.45444,0.0000,0.95294708,0.948918,0.9978661530200681,0.950913636751307
4,2,2,0.4823384,0.47844,0.0118,0.4722,0.4722,0.0000,0.9545384,0.95064,0.9998872015726473,0.9544307295696323
5,2,2,0.47847316,0.474606,0.0115,0.47658,0.47658,0.0000,0.95505316,0.951186,0.9999960706759954,0.9550494072866926
6,2,2,0.48734688,0.483408,0.0128,0.46626,0.46626,0.0000,0.95360688,0.949668,0.9995112648273782,0.9531408187768899
7,2,2,0.63869008,0.633528,0.0098,0.3045,0.3045,0.0000,0.94319008,0.938028,0.8884609356722981,0.8379875409936297
8,2,2,0.49910592,0.495072,0.0131,0.4533,0.4533,0.0026,0.95240592,0.948372,0.9976922134878331,0.9502079704637161
9,2,2,0.47705772,0.473202,0.0117,0.47778,0.47778,0.0000,0.95483772,0.950982,0.9999994277948053,0.9548371736368966
10,2,2,0.49872484,0.494694,0.0130,0.45426,0.45426,0.0004,0.95298484,0.948954,0.9978277137872493,0.9509146841711077
1,3,3,0.48108628,0.477198,0.0230,0.48198,0.48198,0.0002,0.96306628,0.959178,0.9999991388273564,0.9630654506336657
2,3,3,0.477711,0.47385,0.0255,0.48468,0.48468,0.0000,0.962391,0.95853,0.9999475657511796,0.9623405377508435
3,3,3,0.44918444,0.445554,0.0311,0.51222,0.51222,0.0058,0.96140444,0.957774,0.9957194853296467,0.9572891341904373
4,3,3,0.55795556,0.553446,0.0253,0.39954,0.39954,0.0013,0.95749556,0.952986,0.973356333114585,0.9319843672550961
5,3,3,0.45386628,0.450198,0.0288,0.50886,0.50886,0.0016,0.96272628,0.959058,0.9967475866514421,0.9595950961959206
6,3,3,0.56742812,0.562842,0.0230,0.39024,0.39024,0.0006,0.95766812,0.953082,0.9669005374967211,0.9259698199714744
7,3,3,0.49181096,0.487836,0.0242,0.47004,0.47004,0.0017,0.96185096,0.957876,0.9994879443596807,0.9613584387907855
8,3,3,0.55104168,0.546588,0.0232,0.40788,0.40788,0.0003,0.95892168,0.954468,0.9781971292055904,0.9380144345090018
9,3,3,0.46649636,0.462726,0.0248,0.49578,0.49578,0.0045,0.96227636,0.958506,0.9990747726167138,0.9613860355614391
10,3,3,0.48544148,0.481518,0.0254,0.47628,0.47628,0.0020,0.96172148,0.957798,0.9999092611576255,0.9616342145062181
1,4,4,0.52632592,0.522072,0.0398,0.43452,0.43452,0.0037,0.96084592,0.956592,0.9909533645499412,0.9521534972380836
