CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,2,6,0.59595468,0.591138,0.0661,0.36498,0.36498,0.0093,0.96093468,0.956118,0.9453805079124822,0.9084489158491186
32,1,2,6,0.58294352,0.578232,0.0667,0.37818,0.37818,0.0097,0.96112352,0.956412,0.9565820809732266,0.9193935368339126
32,2,2,6,0.58789756,0.583146,0.0619,0.375,0.375,0.0079,0.96289756,0.958146,0.9533927948084842,0.9180195958426701
32,3,2,6,0.60254192,0.597672,0.0636,0.36006,0.36006,0.0032,0.96260192,0.957732,0.9403313525152832,0.9051647653674084
32,4,2,6,0.5944848,0.58968,0.0666,0.36426,0.36426,0.0194,0.9587448,0.95394,0.9454806332004514,0.9064746405816401
32,5,2,6,0.59737012,0.592542,0.0637,0.36384,0.36384,0.0111,0.96121012,0.956382,0.9442631794771256,0.9076353240567894
32,6,2,6,0.6565464,0.65124,0.0606,0.30342,0.30342,0.0111,0.9599664,0.95466,0.8808122418618451,0.8455501568960447
32,7,2,6,0.65251784,0.647244,0.0693,0.3036,0.3036,0.0146,0.95611784,0.950844,0.8824760368336095,0.8437510821891112
32,8,2,6,0.60308632,0.598212,0.0571,0.36138,0.36138,0.0061,0.96446632,0.959592,0.9409053944232997,0.9074715632275884
32,9,2,6,0.64827152,0.643032,0.0586,0.31416,0.31416,0.0032,0.96243152,0.957192,0.8924463082721977,0.8589184569887999
80,0,2,6,0.3682866,0.36531,0.0232,0.60702,0.60702,0.0003,0.9753066,0.97233,0.9434708412261994,0.9201733383554643
80,1,2,6,0.38178772,0.378702,0.0339,0.58806,0.58806,0.0084,0.96984772,0.966762,0.9567226465899467,0.9278752774676255
80,2,2,6,0.36164492,0.358722,0.0222,0.6141,0.6141,0.0003,0.97574492,0.972822,0.9372584836405822,0.9145252041392011
80,3,2,6,0.3867962,0.38367,0.0242,0.58722,0.58722,0.0012,0.9740162,0.97089,0.9593784776593428,0.9344501791715379
80,4,2,6,0.36795996,0.364986,0.0466,0.59826,0.59826,0.0132,0.96621996,0.963246,0.9462425698283032,0.9142784579698003
80,5,2,6,0.37057308,0.367578,0.0323,0.60096,0.60096,0.0060,0.97153308,0.968538,0.9467597322930733,0.919808398734665
80,6,2,6,0.43138256,0.427896,0.0281,0.5391,0.5391,0.0030,0.97048256,0.966996,0.9878303263756538,0.95867210398668
80,7,2,6,0.43704432,0.433512,0.0345,0.53112,0.53112,0.0049,0.96816432,0.964632,0.9906464755833054,0.9591085713935075
80,8,2,6,0.4121108,0.40878,0.0306,0.55806,0.55806,0.0053,0.9701708,0.96684,0.9778696637560488,0.9487005939819368
80,9,2,6,0.43301576,0.429516,0.0333,0.53574,0.53574,0.0038,0.96875576,0.965256,0.9888811118895491,0.9579842730982051
128,0,2,6,0.27094788,0.268758,0.0133,0.70482,0.70482,0.0001,0.97576788,0.973578,0.8349260755211392,0.8146940466679818
128,1,2,6,0.29865784,0.296244,0.0247,0.67194,0.67194,0.0051,0.97059784,0.968184,0.8711488767015502,0.8455352180449509
128,2,2,6,0.26495948,0.262818,0.0170,0.71076,0.71076,0.0000,0.97571948,0.973578,0.8272993825382455,0.807212123334538
128,3,2,6,0.30137984,0.298944,0.0139,0.67236,0.67236,0.0005,0.97373984,0.971304,0.8732484412327379,0.8503167974462157
128,4,2,6,0.26789924,0.265734,0.0417,0.69966,0.69966,0.0105,0.96755924,0.965394,0.8339396870845223,0.8068860498413382
128,5,2,6,0.26898804,0.266814,0.0181,0.7053,0.7053,0.0021,0.97428804,0.972114,0.8329525805583313,0.8115357371251187
128,6,2,6,0.3190184,0.31644,0.0210,0.65214,0.65214,0.0013,0.9711584,0.96858,0.8947272191601388,0.8689218545960097
