simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.4744446,0.47061,0.0000,0.44706,0.44706,0.0000,0.9215046,0.91767,0.9991176631343973,0.9206915225195975
2,1,1,0.4774388,0.47358,0.0000,0.4434,0.4434,0.0000,0.9208388,0.91698,0.9986354538066937,0.9195822729208112
3,1,1,0.47221256,0.468396,0.0000,0.44886,0.44886,0.0000,0.92107256,0.917256,0.999357604890064,0.9204808674915598
4,1,1,0.47977972,0.475902,0.0000,0.44076,0.44076,0.0000,0.92053972,0.916662,0.9982064907458916,0.9188887234934057
5,1,1,0.47651332,0.472662,0.0000,0.44442,0.44442,0.0000,0.92093332,0.917082,0.9987870418428292,0.9198162664172956
6,1,1,0.47384576,0.470016,0.0000,0.44688,0.44688,0.0000,0.92072576,0.916896,0.99914297718805,0.9199366770201299
7,1,1,0.4771666,0.47331,0.0000,0.44352,0.44352,0.0000,0.9206866,0.91683,0.9986662356882167,0.9194586210705828
8,1,1,0.47640444,0.472554,0.0000,0.44496,0.44496,0.0000,0.92136444,0.917514,0.9988366261567729,0.9202925487104244
9,1,1,0.47781988,0.473958,0.0000,0.44304,0.44304,0.0000,0.92085988,0.916998,0.9985755409176659,0.9195481527803768
10,1,1,0.47373688,0.469908,0.0000,0.44718,0.44718,0.0000,0.92091688,0.917088,0.9991690933643957,0.9201516840535681
1,2,2,0.48010636,0.476226,0.0139,0.4713,0.4713,0.0033,0.95140636,0.947526,0.999914331026573,0.9513248539938269
2,2,2,0.47972528,0.475848,0.0117,0.47322,0.47322,0.0000,0.95294528,0.949068,0.9999534010829775,0.9529008737819703
3,2,2,0.48549592,0.481572,0.0107,0.46734,0.46734,0.0000,0.95283592,0.948912,0.999637053489743,0.9524900915279884
4,2,2,0.47074268,0.466938,0.0114,0.48276,0.48276,0.0000,0.95350268,0.949698,0.9998411810077958,0.9533512456652985
5,2,2,0.4733558,0.46953,0.0106,0.48066,0.48066,0.0001,0.9540158,0.95019,0.9999413850065201,0.9539598803701033
6,2,2,0.47977972,0.475902,0.0110,0.47304,0.47304,0.0000,0.95281972,0.948942,0.9999499688476613,0.9527720493314374
7,2,2,0.62671328,0.621648,0.0117,0.31422,0.31422,0.0004,0.94093328,0.935868,0.9006599122680047,0.8474608854148459
8,2,2,0.48729244,0.483354,0.0132,0.46464,0.46464,0.0015,0.95193244,0.947994,0.9994340580739133,0.951393701521402
9,2,2,0.4651898,0.46143,0.0116,0.489,0.489,0.0000,0.9541898,0.95043,0.9993777194740304,0.9535960262693812
10,2,2,0.48495152,0.481032,0.0119,0.46734,0.46734,0.0004,0.95229152,0.948372,0.999658095093051,0.9519659268564661
1,3,3,0.46431876,0.460566,0.0212,0.49926,0.49926,0.0000,0.96357876,0.959826,0.9986867981114815,0.9623133865526317
2,3,3,0.4662786,0.46251,0.0185,0.49746,0.49746,0.0001,0.9637386,0.95997,0.9989542729980314,0.9627307925231406
3,3,3,0.43829644,0.434754,0.0281,0.5232,0.5232,0.0063,0.96149644,0.957954,0.9922628119013486,0.9540571611875363
4,3,3,0.54859188,0.544158,0.0235,0.40872,0.40872,0.0009,0.95731188,0.952878,0.9790983653104113,0.9373024968002366
5,3,3,0.43992964,0.436374,0.0262,0.52326,0.52326,0.0014,0.96318964,0.959634,0.9925707600073473,0.9560338730060033
6,3,3,0.55403588,0.549558,0.0206,0.4038,0.4038,0.0004,0.95783588,0.953358,0.9759890106472783,0.9348372928836651
7,3,3,0.4782554,0.47439,0.0251,0.48276,0.48276,0.0016,0.9610154,0.95715,0.9999780293842414,0.9609942858999084
8,3,3,0.53955484,0.535194,0.0240,0.41814,0.41814,0.0006,0.95769484,0.953334,0.9841815305720011,0.9425455734521078
9,3,3,0.45506396,0.451386,0.0267,0.5064,0.5064,0.0042,0.96146396,0.957786,0.9971572258939484,0.9587307351506101
10,3,3,0.47765656,0.473796,0.0230,0.48402,0.48402,0.0023,0.96167656,0.957816,0.9999562168674636,0.9616344547877164
1,4,4,0.51859544,0.514404,0.0395,0.44202,0.44202,0.0031,0.96061544,0.956424,0.9936856464812039,0.9545497745162261
2,4,4,0.40247492,0.399222,0.0357,0.56634,0.56634,0.0013,0.96881492,0.965562,0.9721874255197199,0.9418696828798935
3,4,4,0.5316066,0.52731,0.0357,0.42996,0.42996,0.0003,0.9615666,0.95727,0.9889490178636384,0.9509403446804782
4,4,4,0.46078016,0.457056,0.0450,0.50016,0.50016,0.0090,0.96094016,0.957216,0.9983234115791912,0.9593290588546539
5,4,4,0.46045352,0.456732,0.0391,0.5022,0.5022,0.0088,0.96265352,0.958932,0.9981229158399378,0.96084653832598
6,4,4,0.46230448,0.458568,0.0334,0.5028,0.5028,0.0033,0.96510448,0.961368,0.9982424756842759,0.9634082854091858
7,4,4,0.53764944,0.533304,0.0318,0.4248,0.4248,0.0006,0.96244944,0.958104,0.9864383381564301,0.9493970261531868
8,4,4,0.46197784,0.458244,0.0357,0.50352,0.50352,0.0010,0.96549784,0.961764,0.9981521263551435,0.9637137219872982
9,4,4,0.53775832,0.533412,0.0424,0.41934,0.41934,0.0099,0.95709832,0.952752,0.9849225887420456,0.9426677550150627
10,4,4,0.53574404,0.531414,0.0392,0.42396,0.42396,0.0030,0.95970404,0.955374,0.9866145653077446,0.9468579842486863
1,5,5,0.49175652,0.487782,0.0388,0.4749,0.4749,0.0011,0.96665652,0.962682,0.999696009907198,0.9663626659947775
2,5,5,0.4442304,0.44064,0.0486,0.5211,0.5211,0.0056,0.9653304,0.96174,0.9936989618051363,0.959247816278937
3,5,5,0.4366088,0.43308,0.0449,0.53076,0.53076,0.0028,0.9673688,0.96384,0.9906163230764446,0.9582913237148726
4,5,5,0.45245084,0.448794,0.0523,0.5088,0.5088,0.0153,0.96125084,0.957594,0.9965753863390441,0.9579589272417307
5,5,5,0.42103896,0.417636,0.0498,0.5463,0.5463,0.0019,0.96733896,0.963936,0.9835087753980477,0.951386355944421
6,5,5,0.41554052,0.412182,0.0458,0.55296,0.55296,0.0021,0.96850052,0.965142,0.9802648551828671,0.9493870219823315
7,5,5,0.45065432,0.447012,0.0488,0.51378,0.51378,0.0073,0.96443432,0.960792,0.9957341045452335,0.9603201440178911
8,5,5,0.4469524,0.44334,0.0476,0.51882,0.51882,0.0048,0.9657724,0.96216,0.9944929576514919,0.9604538504941798
9,5,5,0.51102828,0.506898,0.0438,0.45264,0.45264,0.0034,0.96366828,0.959538,0.9963423275029583,0.9601434970359726
10,5,5,0.51347808,0.509328,0.0456,0.44922,0.44922,0.0043,0.96269808,0.958548,0.995564478678339,0.9584280121398379
1,6,6,0.43862308,0.435078,0.0572,0.52662,0.52662,0.0070,0.96524308,0.961698,0.991757347775686,0.9572869169796343
