simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
10,4,4,0.36752444,0.364554,0.3978,0.38694,0.35445238,0.3952,0.75446444,0.71900638,0.9993381877890372,0.7539651262208708
1,5,5,0.35718084,0.354294,0.4476,0.35778,0.32825479,0.4525,0.71496084,0.68254879,0.9999992977030072,0.7149603378851521
2,5,5,0.34847044,0.345654,0.4526,0.36696,0.33647571,0.4497,0.71543044,0.68212971,0.9993325352257718,0.7149529153828894
3,5,5,0.35200904,0.349164,0.4513,0.36006,0.33030262,0.4585,0.71206904,0.67946662,0.999872180940948,0.7119780240053272
4,5,5,0.35375112,0.350892,0.4473,0.3624,0.33224897,0.4520,0.71615112,0.68314097,0.999854169940087,0.7160466836392637
5,5,5,0.3454218,0.34263,0.4509,0.37368,0.34229366,0.4409,0.7191018,0.68492366,0.9984581642548117,0.7179930631403307
6,5,5,0.35228124,0.349434,0.4515,0.36348,0.33333703,0.4524,0.71576124,0.68277103,0.9997552643587168,0.7155860677139229
7,5,5,0.35211792,0.349272,0.4465,0.36762,0.33683047,0.4445,0.71973792,0.68610247,0.9995363078400265,0.7194041831692604
8,5,5,0.34144768,0.338688,0.4565,0.37182,0.34070133,0.4514,0.71326768,0.67938933,0.9981900603926283,0.7119767085753098
9,5,5,0.34422412,0.341442,0.4595,0.36954,0.33862362,0.4483,0.71376412,0.68006562,0.9987435921613854,0.7128673411647102
10,5,5,0.34945036,0.346626,0.4515,0.3687,0.3380317,0.4465,0.71815036,0.6846577,0.9992820362139586,0.7176347540485875
1,6,6,0.33605812,0.333342,0.4983,0.34488,0.31631637,0.4961,0.68093812,0.64965837,0.9998321837124189,0.6808238474926291
2,6,6,0.34471408,0.341928,0.4909,0.33582,0.30791958,0.5073,0.68053408,0.64984758,0.9998292234909087,0.6804178607655
3,6,6,0.3383446,0.33561,0.4952,0.34428,0.31560032,0.4968,0.6826246,0.65121032,0.9999244032226593,0.6825729957801066
4,6,6,0.3426998,0.33993,0.4903,0.34086,0.31237092,0.4984,0.6835598,0.65230092,0.999992755889691,0.6835548482174061
5,6,6,0.3394334,0.33669,0.4933,0.34134,0.31284427,0.5028,0.6807734,0.64953427,0.9999921564871082,0.6807680603450607
6,6,6,0.34008668,0.337338,0.4945,0.34074,0.31224899,0.5024,0.68082668,0.64958699,0.9999990791723022,0.6808260530759357
7,6,6,0.34411524,0.341334,0.4880,0.3405,0.31183517,0.4969,0.68461524,0.65316917,0.9999721151038519,0.6845961495751312
8,6,6,0.33518708,0.332478,0.4980,0.3483,0.31930904,0.4894,0.68348708,0.65178704,0.9996320588341561,0.6832355969669456
9,6,6,0.33600368,0.333288,0.4962,0.34644,0.31785925,0.4952,0.68244368,0.65114725,0.9997661918808636,0.6822841191267627
10,6,6,0.34057664,0.337824,0.4941,0.3429,0.31453595,0.4955,0.68347664,0.65235995,0.9999884447154039,0.68346874223291
1,7,7,0.33121296,0.328536,0.5345,0.31602,0.28989089,0.5450,0.64723296,0.61842689,0.999449288302678,0.6468765212380356
2,7,7,0.33415272,0.331452,0.5225,0.32076,0.29358393,0.5404,0.65491272,0.62503593,0.9995819876155411,0.6546389583723004
3,7,7,0.32152264,0.318924,0.5364,0.33174,0.30425435,0.5311,0.65326264,0.62317835,0.9997554343148174,0.6531028743748442
4,7,7,0.3258234,0.32319,0.5323,0.32862,0.30110534,0.5311,0.6544434,0.62429534,0.9999817396712662,0.6544314496483784
5,7,7,0.32108712,0.318492,0.5360,0.33312,0.30519656,0.5314,0.65420712,0.62368856,0.9996618092387987,0.6539858731961039
6,7,7,0.32783768,0.325188,0.5280,0.32934,0.30186874,0.5329,0.65717768,0.62705674,0.9999947741490527,0.6571742456873985
7,7,7,0.33676584,0.334044,0.5283,0.31506,0.28874587,0.5423,0.65182584,0.62278987,0.9988923342451937,0.6511038348389342
8,7,7,0.33186624,0.329184,0.5319,0.31836,0.29187903,0.5440,0.65022624,0.62106303,0.9995687266699188,0.649945814764169
9,7,7,0.32326472,0.320652,0.5424,0.32262,0.29579775,0.5425,0.64588472,0.61644975,0.9999990036043286,0.6458840764432607
10,7,7,0.3244624,0.32184,0.5384,0.32376,0.29614984,0.5416,0.6482224,0.61798984,0.999998825858531,0.648221638895199
1,8,8,0.31558868,0.313038,0.5693,0.30576,0.28049874,0.5765,0.62134868,0.59353674,0.9997498439698893,0.6211932458808966
2,8,8,0.31912728,0.316548,0.5639,0.30462,0.27926391,0.5745,0.62374728,0.59581191,0.9994593455396019,0.6234100482509068
3,8,8,0.31509872,0.312552,0.5689,0.30852,0.28288281,0.5706,0.62361872,0.59543481,0.9998887253621597,0.6235493270527815
4,8,8,0.31123348,0.308718,0.5702,0.31308,0.28704638,0.5677,0.62431348,0.59576438,0.9999912522007433,0.6243080186310036
5,8,8,0.31733076,0.314766,0.5676,0.30486,0.27923837,0.5765,0.62219076,0.59400437,0.9995984271967571,0.6219409051123549
6,8,8,0.31498984,0.312444,0.5680,0.3108,0.28495544,0.5694,0.62578984,0.59739944,0.9999551751965574,0.6257617890934257
7,8,8,0.31128792,0.308772,0.5727,0.31008,0.284092,0.5725,0.62136792,0.592864,0.9999962209986456,0.6213655718497887
8,8,8,0.31537092,0.312822,0.5673,0.31026,0.284677,0.5678,0.62563092,0.597499,0.9999332682098633,0.6255891705287435
9,8,8,0.30927364,0.306774,0.5781,0.30924,0.28336466,0.5733,0.61851364,0.59013866,0.9999999970418961,0.6185136381703724
10,8,8,0.31569756,0.313146,0.5700,0.30534,0.28015551,0.5764,0.62103756,0.59330151,0.9997219272706379,0.6208648663906544
