simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.48402604,0.480114,0.0000,0.43842,0.43842,0.0000,0.92244604,0.918534,0.9975616136690081,0.9201967601849863
2,1,1,0.48702024,0.483084,0.0000,0.4356,0.4356,0.0000,0.92262024,0.918684,0.9969034695805455,0.9197633183612356
3,1,1,0.4839716,0.48006,0.0000,0.43842,0.43842,0.0000,0.9223916,0.91848,0.9975671309986273,0.9201475420692333
4,1,1,0.48326388,0.479358,0.0000,0.43986,0.43986,0.0000,0.92312388,0.919218,0.9977941392891048,0.9210875973018189
5,1,1,0.48576812,0.481842,0.0000,0.43722,0.43722,0.0000,0.92298812,0.919062,0.9972409934350714,0.920441589717569
6,1,1,0.48685692,0.482922,0.0000,0.4353,0.4353,0.0000,0.92215692,0.918222,0.9968839181244222,0.9192834035351495
7,1,1,0.48761908,0.483678,0.0000,0.43512,0.43512,0.0000,0.92273908,0.918798,0.9967734231982713,0.9197617914904236
8,1,1,0.48571368,0.481788,0.0000,0.43704,0.43704,0.0000,0.92275368,0.918828,0.9972253379252245,0.9201933503597445
9,1,1,0.48849012,0.484542,0.0000,0.43344,0.43344,0.0000,0.92193012,0.917982,0.9964471668781019,0.9186546561335884
10,1,1,0.48609476,0.482166,0.0000,0.43662,0.43662,0.0000,0.92271476,0.918786,0.9971332774213211,0.9200695927638277
1,2,2,0.48691136,0.482976,0.0152,0.46554,0.46554,0.0026,0.95245136,0.948516,0.9994967774364876,0.9519720649849999
2,2,2,0.4888712,0.48492,0.0108,0.46512,0.46512,0.0000,0.9539912,0.95004,0.9993805400048902,0.9534002406159132
3,2,2,0.49714608,0.493128,0.0100,0.45642,0.45642,0.0003,0.95356608,0.949548,0.9981792422544107,0.9518298671739087
4,2,2,0.47738436,0.473526,0.0124,0.47706,0.47706,0.0000,0.95444436,0.950586,0.9999998845076279,0.9544442497689568
5,2,2,0.48331832,0.479412,0.0101,0.47136,0.47136,0.0001,0.95467832,0.950772,0.999843123429991,0.9545285533396964
6,2,2,0.48429824,0.480384,0.0100,0.4698,0.4698,0.0000,0.95409824,0.950184,0.9997691424362783,0.9538779792047625
7,2,2,0.63820012,0.633042,0.0127,0.3036,0.3036,0.0010,0.94180012,0.936642,0.8879244871173542,0.8362473885180626
8,2,2,0.4951318,0.49113,0.0139,0.45672,0.45672,0.0031,0.9518518,0.94785,0.9983741369214321,0.9503042193021116
9,2,2,0.47711216,0.473256,0.0133,0.4773,0.4773,0.0000,0.95441216,0.950556,0.9999999612649415,0.9544121230307892
10,2,2,0.4986704,0.49464,0.0110,0.45486,0.45486,0.0000,0.9535304,0.9495,0.9978934608910727,0.9515217509208489
1,3,3,0.4771666,0.47331,0.0251,0.48546,0.48546,0.0000,0.9626266,0.95877,0.9999257806282135,0.9625551544584829
2,3,3,0.48119516,0.477306,0.0202,0.48228,0.48228,0.0002,0.96347516,0.959586,0.99999873220281,0.9634739385088995
3,3,3,0.4502188,0.44658,0.0335,0.50952,0.50952,0.0091,0.9597388,0.9561,0.9961966531216735,0.9560885804310112
4,3,3,0.55817332,0.553662,0.0220,0.40026,0.40026,0.0018,0.95843332,0.953922,0.9735709632959787,0.9331028506073631
5,3,3,0.450491,0.44685,0.0243,0.5133,0.5133,0.0021,0.963791,0.96015,0.9957710018051183,0.9597151296007568
6,3,3,0.56138528,0.556848,0.0251,0.39564,0.39564,0.0009,0.95702528,0.952488,0.9708793682974701,0.9291560992911094
7,3,3,0.49170208,0.487728,0.0196,0.4713,0.4713,0.0011,0.96300208,0.959028,0.9995513583845695,0.9625700371911659
8,3,3,0.55196716,0.547506,0.0208,0.4074,0.4074,0.0001,0.95936716,0.954906,0.9777966678566772,0.9380660122991237
