simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,5,5,0.80990388,0.803358,0.2976,0.01353,0.01353,0.0445,0.82343388,0.816888,0.5167010251905394,0.4254691299726236
2,5,5,0.81338804,0.806814,0.2930,0.01299,0.01299,0.0248,0.82637804,0.819804,0.5159661651344676,0.4263831082501377
3,5,5,0.81839652,0.811782,0.2849,0.01377,0.01377,0.0296,0.83216652,0.825552,0.5168208227622202,0.4300809855415736
4,5,5,0.81834208,0.811728,0.2851,0.0132,0.0132,0.0308,0.83154208,0.824928,0.5161259781291455,0.42918046939554416
5,5,5,0.82030192,0.813672,0.2852,0.01206,0.01206,0.0337,0.83236192,0.825732,0.5146987268331773,0.42841562048841897
6,5,5,0.81665444,0.810054,0.2877,0.01407,0.01407,0.0409,0.83072444,0.824124,0.5172237168087822,0.42967038250069417
7,5,5,0.81398688,0.807408,0.2918,0.01338,0.01338,0.0531,0.82736688,0.820788,0.5164331712159058,0.4272797015974098
8,5,5,0.81806988,0.811458,0.2850,0.01401,0.01401,0.0547,0.83207988,0.825468,0.5171206550579849,0.43028569260616945
9,5,5,0.8160556,0.80946,0.2890,0.01299,0.01299,0.0399,0.8290456,0.82245,0.5159140006864035,0.4277162322474598
10,5,5,0.81458572,0.808002,0.2916,0.01293,0.01293,0.0569,0.82751572,0.820932,0.5158691009693016,0.4268897905143643
1,6,6,0.7872024,0.78084,0.3343,0.01413,0.01413,0.0427,0.8013324,0.79497,0.5179438590728329,0.41504519565609493
2,6,6,0.79057768,0.784188,0.3312,0.01227,0.01227,0.0532,0.80284768,0.796458,0.5155165588775997,0.41388127329646435
3,6,6,0.79406184,0.787644,0.3262,0.01197,0.01197,0.0500,0.80603184,0.799614,0.5150709680083483,0.41516360007435016
4,6,6,0.796185,0.78975,0.3233,0.01284,0.01284,0.0382,0.809025,0.80259,0.5161227120313565,0.4175561771011682
5,6,6,0.79525952,0.788832,0.3233,0.01281,0.01281,0.0383,0.80806952,0.801642,0.5161037708826688,0.41704772640734816
6,6,6,0.79106764,0.784674,0.3310,0.01284,0.01284,0.0510,0.80390764,0.797514,0.516226953939211,0.4149987922456599
7,6,6,0.78752904,0.781164,0.3354,0.0132,0.0132,0.0393,0.80072904,0.794364,0.5167565790639367,0.4137819994675501
8,6,6,0.78905336,0.782676,0.3327,0.01368,0.01368,0.0539,0.80273336,0.796356,0.5173320208752137,0.4152796713527504
9,6,6,0.78823676,0.781866,0.3352,0.01218,0.01218,0.0514,0.80041676,0.794046,0.5154485214137166,0.41257363545675757
10,6,6,0.78791012,0.781542,0.3339,0.01419,0.01419,0.0540,0.80210012,0.795732,0.5180038289037208,0.4154909333241339
1,7,7,0.76809396,0.761886,0.3689,0.0117,0.0117,0.0347,0.77979396,0.773586,0.5152289778267931,0.4017724449263072
2,7,7,0.76695072,0.760752,0.3707,0.00996,0.00996,0.0487,0.77691072,0.770712,0.5129843030061279,0.39854300419718897
3,7,7,0.76999936,0.763776,0.3656,0.01185,0.01185,0.0618,0.78184936,0.775626,0.5153859791579634,0.402954197957627
4,7,7,0.76428316,0.758106,0.3716,0.01281,0.01281,0.0595,0.77709316,0.770916,0.5167560964804017,0.40156762796322015
5,7,7,0.76580748,0.759618,0.3704,0.01263,0.01263,0.0300,0.77843748,0.772248,0.5164879110155967,0.4020535479014453
6,7,7,0.76684184,0.760644,0.3687,0.01176,0.01176,0.0392,0.77860184,0.772404,0.5153320206375024,0.40123845947927733
7,7,7,0.76798508,0.761778,0.3679,0.01161,0.01161,0.0373,0.77959508,0.773388,0.5151140270554623,0.40158036113142526
8,7,7,0.77125148,0.765018,0.3663,0.00999,0.00999,0.0348,0.78124148,0.775008,0.5129508006438256,0.4007384426621673
9,7,7,0.76684184,0.760644,0.3695,0.01245,0.01245,0.0632,0.77929184,0.773094,0.5162311425040437,0.40229471690727836
10,7,7,0.76673296,0.760536,0.3704,0.0111,0.0111,0.0513,0.77783296,0.771636,0.5144739755382229,0.40017481523586357
1,8,8,0.74620908,0.740178,0.4014,0.01089,0.01089,0.0692,0.75709908,0.751068,0.5145906575723704,0.3895961134246367
2,8,8,0.74522916,0.739206,0.4040,0.01011,0.01011,0.0560,0.75533916,0.749316,0.5135638005005081,0.3879148496764614
3,8,8,0.75285076,0.746766,0.3940,0.01104,0.01104,0.0730,0.76389076,0.757806,0.5146611082158488,0.39314486509744695
4,8,8,0.74893108,0.742878,0.3979,0.01137,0.01137,0.0596,0.76030108,0.754248,0.5151781389847829,0.39169049546252055
5,8,8,0.74865888,0.742608,0.3973,0.01179,0.01179,0.0391,0.76044888,0.754398,0.5157442555831662,0.39219714152465246
6,8,8,0.7466446,0.74061,0.4016,0.01098,0.01098,0.0567,0.7576246,0.75159,0.5147026121600453,0.38995136065670943
7,8,8,0.74844112,0.742392,0.4001,0.01077,0.01077,0.0427,0.75921112,0.753162,0.5143869304284422,0.3905282775639397
8,8,8,0.74833224,0.742284,0.3996,0.00999,0.00999,0.0672,0.75832224,0.752274,0.5133473067502199,0.3892826795527939
9,8,8,0.74871332,0.742662,0.3985,0.0111,0.0111,0.0513,0.75981332,0.753762,0.5148221763014704,0.39116874698524556
10,8,8,0.74822336,0.742176,0.4008,0.00984,0.00984,0.1135,0.75806336,0.752016,0.5131488790171561,0.38899936340797886
