CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,3,8,0.58430452,0.579582,0.1176,0.36132,0.36132,0.0107,0.94562452,0.940902,0.947324260782624,0.8958130493869236
32,1,3,8,0.61370212,0.608742,0.1205,0.32832,0.32832,0.0144,0.94202212,0.937062,0.9159384118641752,0.8628342445337235
32,2,3,8,0.6630792,0.65772,0.1229,0.27102,0.27102,0.0365,0.9340992,0.92874,0.8502215279644552,0.7941912490943752
32,3,3,8,0.59002072,0.585252,0.1171,0.35592,0.35592,0.0087,0.94594072,0.941172,0.9422886020041378,0.8913491586275875
32,4,3,8,0.66139156,0.656046,0.1194,0.27654,0.27654,0.0208,0.93793156,0.932586,0.8558990772409164,0.8027747567191332
32,5,3,8,0.59671684,0.591894,0.1245,0.34356,0.34356,0.0210,0.94027684,0.935454,0.9324111130078695,0.8767245749199224
32,6,3,8,0.63193952,0.626832,0.1264,0.30318,0.30318,0.0327,0.93511952,0.930012,0.8899955474842018,0.832252209165564
32,7,3,8,0.658724,0.6534,0.1184,0.28176,0.28176,0.0101,0.940484,0.93516,0.861581731270439,0.8103038329521476
32,8,3,8,0.64489624,0.639684,0.1251,0.29346,0.29346,0.0117,0.93835624,0.933144,0.876987064477373,0.8229262843516252
32,9,3,8,0.64173872,0.636552,0.1369,0.28656,0.28656,0.0461,0.92829872,0.923112,0.8723017062874422,0.8097565574004486
80,0,3,8,0.3922402,0.38907,0.0537,0.57858,0.57858,0.0040,0.9708202,0.96765,0.9644678570935852,0.9363248779171658
80,1,3,8,0.42610188,0.422658,0.0460,0.54486,0.54486,0.0043,0.97096188,0.967518,0.9852608147035329,0.956650692934874
80,2,3,8,0.50585648,0.501768,0.0491,0.46044,0.46044,0.0051,0.96629648,0.962208,0.9977958160992147,0.9641665848553985
80,3,3,8,0.40644904,0.403164,0.0525,0.56328,0.56328,0.0056,0.96972904,0.966444,0.9745111860345949,0.9450117969025891
80,4,3,8,0.46116124,0.457434,0.0526,0.50544,0.50544,0.0073,0.96660124,0.962874,0.997905955920765,0.9645771343963968
80,5,3,8,0.40078728,0.397548,0.0576,0.56718,0.56718,0.0085,0.96796728,0.964728,0.9712987945369403,0.940185452215201
80,6,3,8,0.44521032,0.441612,0.0571,0.52068,0.52068,0.0089,0.96589032,0.962292,0.9939319931849752,0.9600292909556735
80,7,3,8,0.45789484,0.454194,0.0521,0.51024,0.51024,0.0036,0.96813484,0.964434,0.9970851673838411,0.9653128889915283
80,8,3,8,0.44580916,0.442206,0.0526,0.52224,0.52224,0.0053,0.96804916,0.964446,0.9938049672938931,0.9620520637926807
80,9,3,8,0.44412152,0.440532,0.0698,0.51552,0.51552,0.0204,0.95964152,0.956052,0.9944949350393739,0.9543586310934861
128,0,3,8,0.29599028,0.293598,0.0436,0.67734,0.67734,0.0038,0.97333028,0.970938,0.8669219591135952,0.8438013932021842
128,1,3,8,0.31700412,0.314442,0.0282,0.6585,0.6585,0.0015,0.97550412,0.972942,0.8908290494473247,0.869007407951549
128,2,3,8,0.4063946,0.40311,0.0306,0.56454,0.56454,0.0013,0.9709346,0.96765,0.9741558869623669,0.9458416564454509
128,3,3,8,0.30339412,0.300942,0.0363,0.67098,0.67098,0.0023,0.97437412,0.971922,0.8754113867575424,0.85297819960986
128,4,3,8,0.35162796,0.348786,0.0337,0.62022,0.62022,0.0040,0.97184796,0.969006,0.9290384171980405,0.9028840905155445
128,5,3,8,0.30230532,0.299862,0.0327,0.67248,0.67248,0.0034,0.97478532,0.972342,0.8739654226091464,0.851928664146992
128,6,3,8,0.34422412,0.341442,0.0345,0.62772,0.62772,0.0049,0.97194412,0.969162,0.9215937919573873,0.8957376671214858
128,7,3,8,0.3478716,0.34506,0.0392,0.62352,0.62352,0.0030,0.9713916,0.96858,0.9254773866623281,0.8990009593937376
128,8,3,8,0.34182876,0.339066,0.0331,0.63078,0.63078,0.0040,0.97260876,0.969846,0.918896539074608,0.893726823437646
128,9,3,8,0.33850792,0.335772,0.0482,0.62892,0.62892,0.0108,0.96742792,0.964692,0.9173352768352994,0.8874557588113978
176,0,3,8,0.2357252,0.23382,0.0307,0.73956,0.73956,0.0030,0.9752852,0.97338,0.789341881499837,0.7698334547669448
176,1,3,8,0.25162168,0.249588,0.0228,0.72468,0.72468,0.0012,0.97630168,0.974268,0.8098607954570504,0.7906684551708546
176,2,3,8,0.33213844,0.329454,0.0266,0.63906,0.63906,0.0008,0.97119844,0.968514,0.9091976390217924,0.8830113286696479
176,3,3,8,0.24508888,0.243108,0.0293,0.73044,0.73044,0.0018,0.97552888,0.973548,0.8015824764966621,0.7819668555244151
176,4,3,8,0.28619108,0.283878,0.0254,0.68724,0.68724,0.0022,0.97343108,0.971118,0.8548908054098807,0.83217727999221
176,5,3,8,0.24236688,0.240408,0.0288,0.73368,0.73368,0.0014,0.97604688,0.974088,0.7978415058312144,0.7787307125010585
176,6,3,8,0.27666408,0.274428,0.0309,0.69648,0.69648,0.0024,0.97314408,0.970908,0.8430940107555553,0.8204519454502249
176,7,3,8,0.28276136,0.280476,0.0261,0.69096,0.69096,0.0020,0.97372136,0.971436,0.850527273226943,0.8281765732036305
176,8,3,8,0.2819992,0.27972,0.0287,0.69132,0.69132,0.0028,0.9733192,0.97104,0.8497224399693202,0.8270511654929867
176,9,3,8,0.2773718,0.27513,0.0284,0.69468,0.69468,0.0059,0.9720518,0.96981,0.8443777166489802,0.8207788793485312
224,0,3,8,0.20072028,0.199098,0.0254,0.77544,0.77544,0.0021,0.97616028,0.974538,0.7425928099952339,0.7248896053309344
224,1,3,8,0.20518436,0.203526,0.0203,0.77148,0.77148,0.0008,0.97666436,0.975006,0.748391806256771,0.7309276044870133
224,2,3,8,0.28678992,0.284472,0.0150,0.68562,0.68562,0.0002,0.97240992,0.970092,0.856003314327218,0.8323861144046649
224,3,3,8,0.20257124,0.200934,0.0203,0.77436,0.77436,0.0006,0.97693124,0.975294,0.7448427872989607,0.7276601878010299
224,4,3,8,0.23915492,0.237222,0.0231,0.73458,0.73458,0.0013,0.97373492,0.971802,0.7943659208358486,0.7735018363758213
224,5,3,8,0.20055696,0.198936,0.0215,0.7764,0.7764,0.0010,0.97695696,0.975336,0.742157958722844,0.7250563831936752
224,6,3,8,0.23441864,0.232524,0.0185,0.74022,0.74022,0.0017,0.97463864,0.972744,0.7878218121544805,0.7678415795605784
224,7,3,8,0.23812056,0.236196,0.0234,0.73518,0.73518,0.0024,0.97330056,0.971376,0.7931414965766557,0.771965062777297
224,8,3,8,0.23501748,0.233118,0.0218,0.73914,0.73914,0.0019,0.97415748,0.972258,0.7887666841141262,0.7683829653045733
224,9,3,8,0.232731,0.23085,0.0359,0.7377,0.7377,0.0065,0.970431,0.96855,0.786924630118779,0.7636560557307969
272,0,3,8,0.1682196,0.16686,0.0265,0.80766,0.80766,0.0024,0.9758796,0.97452,0.6996205480427466,0.6827454205757364
272,1,3,8,0.17600452,0.174582,0.0197,0.80076,0.80076,0.0004,0.97676452,0.975342,0.7096676615271216,0.6931781927710614
272,2,3,8,0.24737536,0.245376,0.0173,0.72402,0.72402,0.0002,0.97139536,0.969396,0.8059529419366115,0.7828989481755738
272,3,3,8,0.17546012,0.174042,0.0129,0.80208,0.80208,0.0003,0.97754012,0.976122,0.7087660201066542,0.6928472203469812
272,4,3,8,0.20382336,0.202176,0.0217,0.76998,0.76998,0.0010,0.97380336,0.972156,0.7473780810582245,0.7277992865248514
272,5,3,8,0.17197596,0.170586,0.0223,0.80454,0.80454,0.0013,0.97651596,0.975126,0.7044166723731168,0.6878741230624396
272,6,3,8,0.20567432,0.204012,0.0177,0.76896,0.76896,0.0009,0.97463432,0.972972,0.7496132793160459,0.7305988287491645
272,7,3,8,0.20311564,0.201474,0.0243,0.77022,0.77022,0.0015,0.97333564,0.971694,0.7465642356368337,0.7266575780946883
272,8,3,8,0.20594652,0.204282,0.0205,0.76782,0.76782,0.0021,0.97376652,0.972102,0.7502207042780727,0.730539804436808
272,9,3,8,0.2019724,0.20034,0.0288,0.77016,0.77016,0.0041,0.9721324,0.9705,0.7453721822930295,0.7246004484657602
320,0,3,8,0.14655248,0.145368,0.0246,0.82956,0.82956,0.0021,0.97611248,0.974928,0.6713161654217717,0.6552800870939358
320,1,3,8,0.15156096,0.150336,0.0152,0.82554,0.82554,0.0004,0.97710096,0.975876,0.6776038905500112,0.662087411956151
320,2,3,8,0.2169434,0.21519,0.0141,0.75456,0.75456,0.0001,0.9715034,0.96975,0.765558259621714,0.7437424521205779
320,3,3,8,0.14960112,0.148392,0.0182,0.82746,0.82746,0.0004,0.97706112,0.975852,0.6750729730322115,0.6595875551125824
320,4,3,8,0.17959756,0.178146,0.0132,0.79488,0.79488,0.0006,0.97447756,0.973026,0.7149687789549091,0.6967210311921591
320,5,3,8,0.1516154,0.15039,0.0204,0.82524,0.82524,0.0006,0.9768554,0.97563,0.6777238918711448,0.662038243483344
320,6,3,8,0.18166628,0.180198,0.0208,0.79212,0.79212,0.0013,0.97378628,0.972318,0.7178817881764779,0.6990634359881204
320,7,3,8,0.17785548,0.176418,0.0216,0.7956,0.7956,0.0017,0.97345548,0.972018,0.7129089369671657,0.6939851114316621
320,8,3,8,0.1807408,0.17928,0.0206,0.7926,0.7926,0.0023,0.9733408,0.97188,0.7167635958869707,0.6976552518315008
320,9,3,8,0.17872652,0.177282,0.0264,0.79332,0.79332,0.0040,0.97204652,0.970602,0.7144070279482011,0.6944368653805917
368,0,3,8,0.13212588,0.131058,0.0237,0.84402,0.84402,0.0018,0.97614588,0.975078,0.6527990659824283,0.6372271187265955
368,1,3,8,0.13441236,0.133326,0.0179,0.84246,0.84246,0.0002,0.97687236,0.975786,0.6555869411495981,0.640424762385989
368,2,3,8,0.19500408,0.193428,0.0075,0.7767,0.7767,0.0001,0.97170408,0.970128,0.7361798741009328,0.7153489872777626
368,3,3,8,0.13517452,0.134082,0.0131,0.84204,0.84204,0.0004,0.97721452,0.976122,0.6564991105793585,0.6415404632252347
368,4,3,8,0.16054356,0.159246,0.0170,0.81324,0.81324,0.0010,0.97378356,0.972486,0.6900073837256397,0.6719178465506396
368,5,3,8,0.13196256,0.130896,0.0182,0.84516,0.84516,0.0003,0.97712256,0.976056,0.6524231551996041,0.6374973836119145
368,6,3,8,0.16108796,0.159786,0.0176,0.81294,0.81294,0.0011,0.97402796,0.972726,0.6906681496434643,0.6727300888341983
368,7,3,8,0.15803932,0.156762,0.0163,0.81582,0.81582,0.0015,0.97385932,0.972582,0.6867116762851626,0.6687605661031286
368,8,3,8,0.1608702,0.15957,0.0212,0.81246,0.81246,0.0016,0.9733302,0.97203,0.6905338609537405,0.6721174609888765
368,9,3,8,0.16043468,0.159138,0.0229,0.81192,0.81192,0.0038,0.97235468,0.971058,0.690173711861896,0.6710936387418861
416,0,3,8,0.11715488,0.116208,0.0205,0.8592,0.8592,0.0016,0.97635488,0.975408,0.6338645993638045,0.6188767948480954
416,1,3,8,0.1233066,0.12231,0.0105,0.85404,0.85404,0.0003,0.9773466,0.97635,0.6414321073851202,0.6269014892836822
416,2,3,8,0.17741996,0.175986,0.0088,0.79368,0.79368,0.0001,0.97109996,0.969666,0.7129020899576768,0.6922991910418164
416,3,3,8,0.11971356,0.118746,0.0187,0.85704,0.85704,0.0004,0.97675356,0.975786,0.6370093616080088,0.6222011617039499
416,4,3,8,0.14214284,0.140994,0.0162,0.83184,0.83184,0.0005,0.97398284,0.972834,0.6660296929196383,0.6487014918341972
416,5,3,8,0.11911472,0.118152,0.0153,0.85788,0.85788,0.0006,0.97699472,0.976032,0.6362215888871396,0.6215851330927461
416,6,3,8,0.14628028,0.145098,0.0089,0.82836,0.82836,0.0006,0.97464028,0.973458,0.6712499495356627,0.6542272387654242
416,7,3,8,0.14524592,0.144072,0.0148,0.82842,0.82842,0.0014,0.97366592,0.972492,0.6700999362630441,0.6524534709334981
416,8,3,8,0.14715132,0.145962,0.0153,0.82638,0.82638,0.0017,0.97353132,0.972342,0.6725947455345476,0.6547920504453122
416,9,3,8,0.142905,0.14175,0.0245,0.82968,0.82968,0.0026,0.972585,0.97143,0.66727845536135,0.6489850165076186
464,0,3,8,0.10936996,0.108486,0.0137,0.8673,0.8673,0.0014,0.97666996,0.975786,0.6241300135796695,0.6095690353976552
464,1,3,8,0.11209196,0.111186,0.0162,0.8649,0.8649,0.0001,0.97699196,0.976086,0.6274601868719073,0.613023557793951
464,2,3,8,0.1627756,0.16146,0.0122,0.80772,0.80772,0.0002,0.9704956,0.96918,0.6936598265966131,0.673193809608776
