CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,2,1,0.87980484,0.872694,0.0600,0.0711,0.0711,0.0247,0.95090484,0.943794,0.5802890250342658,0.5517996425039645
32,1,2,1,0.87904268,0.871938,0.0550,0.07452,0.07452,0.0205,0.95356268,0.946458,0.5841691475844848,0.5570418979439768
32,2,2,1,0.87365312,0.866592,0.0626,0.07602,0.07602,0.0231,0.94967312,0.942612,0.5863600709492182,0.5568503980217654
32,3,2,1,0.873762,0.8667,0.0659,0.07434,0.07434,0.0221,0.948102,0.94104,0.5844689338010426,0.554136165074636
32,4,2,1,0.87572184,0.868644,0.0601,0.07506,0.07506,0.0249,0.95078184,0.943704,0.5850870498834652,0.5562901418483728
32,5,2,1,0.87615736,0.869076,0.0628,0.07332,0.07332,0.0255,0.94947736,0.942396,0.5831016414742335,0.5536418071586218
32,6,2,1,0.87779056,0.870696,0.0589,0.07404,0.07404,0.0136,0.95183056,0.944736,0.583752274165484,0.5556332540202062
32,7,2,1,0.87572184,0.868644,0.0618,0.07452,0.07452,0.0205,0.95024184,0.943164,0.5844837462599894,0.5554009104961855
32,8,2,1,0.8789338,0.87183,0.0597,0.07242,0.07242,0.0163,0.9513538,0.94425,0.5818396757702098,0.553535386534757
32,9,2,1,0.87354424,0.866484,0.0657,0.07476,0.07476,0.0235,0.94830424,0.941244,0.5849601084929368,0.554720151114712
80,0,2,1,0.78878116,0.782406,0.0266,0.16512,0.16512,0.0108,0.95390116,0.947526,0.7005473614234802,0.668252940696797
80,1,2,1,0.78878116,0.782406,0.0261,0.16566,0.16566,0.0086,0.95444116,0.948066,0.7011478978050943,0.6692044129126558
80,2,2,1,0.79014216,0.783756,0.0256,0.1641,0.1641,0.0112,0.95424216,0.947856,0.6990965726903886,0.6671074235726734
80,3,2,1,0.78415376,0.777816,0.0289,0.16878,0.16878,0.0106,0.95293376,0.946596,0.7057084278843998,0.6724933856475699
80,4,2,1,0.78758348,0.781218,0.0263,0.16662,0.16662,0.0093,0.95420348,0.947838,0.7024954356264546,0.6703235893588789
80,5,2,1,0.79079544,0.784404,0.0225,0.16506,0.16506,0.0086,0.95585544,0.949464,0.7000126401980299,0.6691108902020495
80,6,2,1,0.79003328,0.783648,0.0236,0.165,0.165,0.0104,0.95503328,0.948648,0.7001227774803942,0.668640552579811
80,7,2,1,0.79297304,0.786564,0.0225,0.16302,0.16302,0.0077,0.95599304,0.949584,0.6972445258081403,0.6665609138506825
80,8,2,1,0.788019,0.78165,0.0255,0.1665,0.1665,0.0103,0.954519,0.94815,0.7022598014918894,0.6703203234602367
80,9,2,1,0.78861784,0.782244,0.0252,0.1659,0.1659,0.0097,0.95451784,0.948144,0.701452816001817,0.6695492267919717
128,0,2,1,0.71381728,0.708048,0.0152,0.23478,0.23478,0.0023,0.94859728,0.942828,0.7967998146392955,0.7558421368713398
128,1,2,1,0.7123474,0.70659,0.0173,0.23538,0.23538,0.0018,0.9477274,0.94197,0.7979027211652348,0.7561942713828529
128,2,2,1,0.70777444,0.702054,0.0166,0.24048,0.24048,0.0017,0.94825444,0.942534,0.8046047326891537,0.7629700102175031
128,3,2,1,0.70837328,0.702648,0.0152,0.24,0.24,0.0022,0.94837328,0.942648,0.8039181348624199,0.7624144784109556
128,4,2,1,0.7044536,0.69876,0.0145,0.24468,0.24468,0.0022,0.9491336,0.94344,0.80994159925577,0.7687427858913863
128,5,2,1,0.70777444,0.702054,0.0165,0.24024,0.24024,0.0035,0.94801444,0.942294,0.8043635792414937,0.7625482881310203
128,6,2,1,0.71093196,0.705186,0.0147,0.23796,0.23796,0.0023,0.94889196,0.943146,0.8009938723931995,0.760056645523173
128,7,2,1,0.70848216,0.702756,0.0151,0.2403,0.2403,0.0022,0.94878216,0.943056,0.8041825658822883,0.7629940718921399
128,8,2,1,0.70782888,0.702108,0.0186,0.23952,0.23952,0.0035,0.94734888,0.941628,0.8036205905969794,0.7613090664469869
128,9,2,1,0.71300068,0.707238,0.0180,0.23472,0.23472,0.0025,0.94772068,0.941958,0.7970122022639197,0.7553449462978594
176,0,2,1,0.64582172,0.640602,0.0122,0.29526,0.29526,0.0004,0.94108172,0.935862,0.8781456933865431,0.8264068595428007
176,1,2,1,0.64734604,0.642114,0.0120,0.29382,0.29382,0.0008,0.94116604,0.935934,0.8763515491892615,0.8247923171983225
176,2,2,1,0.64642056,0.641196,0.0121,0.29472,0.29472,0.0002,0.94114056,0.935916,0.8774633199167593,0.825816320285918
176,3,2,1,0.64636612,0.641142,0.0119,0.29448,0.29448,0.0006,0.94084612,0.935622,0.8772824891821114,0.8253878260909314
176,4,2,1,0.64522288,0.640008,0.0135,0.2955,0.2955,0.0004,0.94072288,0.935508,0.8785761281006575,0.8264966655260996
176,5,2,1,0.64914256,0.643896,0.0112,0.29208,0.29208,0.0002,0.94122256,0.935976,0.874191356280788,0.8228086262884754
176,6,2,1,0.64522288,0.640008,0.0094,0.29664,0.29664,0.0004,0.94186288,0.936648,0.8795279280792968,0.8283947073811994
176,7,2,1,0.64554952,0.640332,0.0097,0.2964,0.2964,0.0008,0.94194952,0.936732,0.8792028403196371,0.8281646934217188
