CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,7,4,0.7507276,0.74466,0.3083,0.0765,0.0765,0.0406,0.8272276,0.82116,0.600853891351273,0.4970429224931743
32,1,7,4,0.73515776,0.729216,0.3113,0.0942,0.0942,0.0362,0.82935776,0.823416,0.6260659146072046,0.5192326245509825
32,2,7,4,0.7371176,0.73116,0.3075,0.09372,0.09372,0.0322,0.8308376,0.82488,0.625121235312552,0.519374226856116
32,3,7,4,0.7496388,0.74358,0.3126,0.0762,0.0762,0.0327,0.8258388,0.81978,0.600609406450443,0.4960065514917461
32,4,7,4,0.75927468,0.753138,0.3020,0.07074,0.07074,0.0613,0.83001468,0.823878,0.5923661028922265,0.4916725613349384
32,5,7,4,0.751272,0.7452,0.3073,0.07686,0.07686,0.0390,0.828132,0.82206,0.6012467769062995,0.4979116958529676
32,6,7,4,0.75148976,0.745416,0.3092,0.07506,0.07506,0.0544,0.82654976,0.820476,0.598894991042166,0.4950165111111045
32,7,7,4,0.74833224,0.742284,0.3099,0.0795,0.0795,0.0412,0.82783224,0.821784,0.6050506196322005,0.5008804097635126
32,8,7,4,0.7428338,0.73683,0.3071,0.08622,0.08622,0.0729,0.8290538,0.82305,0.6145261334826886,0.5094752261631301
32,9,7,4,0.76074456,0.754596,0.3017,0.07002,0.07002,0.0347,0.83076456,0.824616,0.5912682177129684,0.49120468073029844
80,0,7,4,0.71240184,0.706644,0.1358,0.21612,0.21612,0.0074,0.92852184,0.922764,0.7778014306306337,0.7222056155237884
80,1,7,4,0.7088088,0.70308,0.1373,0.21906,0.21906,0.0114,0.9278688,0.92214,0.7821083685290519,0.7256939533770091
80,2,7,4,0.70260264,0.696924,0.1418,0.22374,0.22374,0.0090,0.92634264,0.920664,0.7891252654845631,0.7310003817196711
80,3,7,4,0.72982264,0.723924,0.1299,0.20082,0.20082,0.0018,0.93064264,0.924744,0.7557953198276316,0.7033753517440314
80,4,7,4,0.72481416,0.718956,0.1387,0.20184,0.20184,0.0021,0.92665416,0.920796,0.7584310096782539,0.7028032501913543
80,5,7,4,0.71365396,0.707886,0.1379,0.21288,0.21288,0.0155,0.92653396,0.920766,0.7739221284521147,0.7170651344063665
80,6,7,4,0.71768252,0.711882,0.1456,0.2055,0.2055,0.0113,0.92318252,0.917382,0.7646405314580261,0.7059027727255598
80,7,7,4,0.72203772,0.716202,0.1436,0.20154,0.20154,0.0147,0.92357772,0.917742,0.7589513491940225,0.7009505566795392
80,8,7,4,0.71604932,0.710262,0.1401,0.2085,0.2085,0.0228,0.92454932,0.918762,0.768422481498598,0.7104444827422414
80,9,7,4,0.7455558,0.73953,0.1382,0.17874,0.17874,0.0119,0.9242958,0.91827,0.7267103054884879,0.6716952831797264
128,0,7,4,0.63509704,0.629964,0.0882,0.31572,0.31572,0.0030,0.95081704,0.945684,0.8986121829119866,0.8544157758643137
128,1,7,4,0.63526036,0.630126,0.0963,0.31206,0.31206,0.0065,0.94732036,0.942186,0.8957369514037975,0.848549851269148
128,2,7,4,0.64244644,0.637254,0.0901,0.30606,0.30606,0.0091,0.94850644,0.943314,0.8882764922876012,0.8425359734354
128,3,7,4,0.6508302,0.64557,0.0950,0.29598,0.29598,0.0066,0.9468102,0.94155,0.876836288464954,0.8301975416487608
128,4,7,4,0.65779852,0.652482,0.0932,0.28926,0.28926,0.0037,0.94705852,0.941742,0.8684852165487469,0.8225063238265358
128,5,7,4,0.63836344,0.633204,0.0902,0.3108,0.3108,0.0065,0.94916344,0.944004,0.8935758333417974,0.8481495118755671
128,6,7,4,0.6481082,0.64287,0.0934,0.29862,0.29862,0.0097,0.9467282,0.94149,0.8800690788961688,0.8331862149390279
128,7,7,4,0.65828848,0.652968,0.0899,0.28944,0.28944,0.0103,0.94772848,0.942408,0.8684547087061192,0.8230592610308931
128,8,7,4,0.64691052,0.641682,0.0941,0.2994,0.2994,0.0115,0.94631052,0.941082,0.8811694738813134,0.8338599430367521
128,9,7,4,0.68006448,0.674568,0.0921,0.26562,0.26562,0.0083,0.94568448,0.940188,0.8388829307259964,0.79331856812449
176,0,7,4,0.57641072,0.571752,0.0632,0.38292,0.38292,0.0033,0.95933072,0.954672,0.9609099463487634,0.9218304306859205
176,1,7,4,0.57504972,0.570402,0.0631,0.38484,0.38484,0.0023,0.95988972,0.955242,0.9622170570407151,0.9236222614620361
176,2,7,4,0.5855022,0.58077,0.0698,0.36924,0.36924,0.0130,0.9547422,0.95001,0.9511956160193193,0.9081465950686402
176,3,7,4,0.58664544,0.581904,0.0681,0.3696,0.3696,0.0082,0.95624544,0.951504,0.9510056849277008,0.9093948496261905
176,4,7,4,0.59535584,0.590544,0.0690,0.36114,0.36114,0.0030,0.95649584,0.951684,0.94343124626593,0.9023880623793775
176,5,7,4,0.57619296,0.571536,0.0669,0.38148,0.38148,0.0058,0.95767296,0.953016,0.9603024851266562,0.9196557234266008
176,6,7,4,0.5904018,0.58563,0.0628,0.36798,0.36798,0.0055,0.9583818,0.95361,0.9488913874285727,0.9094002358882929
176,7,7,4,0.5963902,0.59157,0.0718,0.35772,0.35772,0.0105,0.9541102,0.94929,0.941110236029983,0.8979228755206143
176,8,7,4,0.58697208,0.582228,0.0721,0.3675,0.3675,0.0113,0.95447208,0.949728,0.9497823708237133,0.9065407550274409
176,9,7,4,0.61609748,0.611118,0.0680,0.33882,0.33882,0.0081,0.95491748,0.949938,0.9222424416795099,0.8806654283576445
224,0,7,4,0.52730584,0.523044,0.0552,0.43458,0.43458,0.0019,0.96188584,0.957624,0.9907925951039022,0.9530293676072968
224,1,7,4,0.52322284,0.518994,0.0598,0.43734,0.43734,0.0022,0.96056284,0.956334,0.992069450000999,0.9529450483701977
224,2,7,4,0.53939152,0.535032,0.0570,0.4194,0.4194,0.0102,0.95879152,0.954432,0.9845793225979984,0.9440063052743053
224,3,7,4,0.53089888,0.526608,0.0612,0.42708,0.42708,0.0088,0.95797888,0.953688,0.9883916662854397,0.9468583414694592
224,4,7,4,0.54706756,0.542646,0.0522,0.4146,0.4146,0.0019,0.96166756,0.957246,0.9813788779017024,0.943760230947268
224,5,7,4,0.52523712,0.520992,0.0529,0.43716,0.43716,0.0026,0.96239712,0.958152,0.9916939366477756,0.9544033885512817
224,6,7,4,0.53117108,0.526878,0.0549,0.42984,0.42984,0.0043,0.96101108,0.956718,0.9890042035800274,0.950443997806982
224,7,7,4,0.54048032,0.536112,0.0587,0.41688,0.41688,0.0133,0.95736032,0.952992,0.9836050872361127,0.9416644810699928
224,8,7,4,0.5291568,0.52488,0.0615,0.42888,0.42888,0.0091,0.9580368,0.95376,0.9891631150297336,0.947654665401118
224,9,7,4,0.56606712,0.561492,0.0503,0.3945,0.3945,0.0057,0.96056712,0.955992,0.9690846337500517,0.9308708356775419
272,0,7,4,0.47901756,0.475146,0.0477,0.4845,0.4845,0.0030,0.96351756,0.959646,0.9999676246519368,0.96348636578363
272,1,7,4,0.47204924,0.468234,0.0424,0.49368,0.49368,0.0009,0.96572924,0.961914,0.9994985646237639,0.9652449891951984
272,2,7,4,0.49747272,0.493452,0.0461,0.4641,0.4641,0.0078,0.96157272,0.957552,0.9987969154925774,0.9604158667578079
272,3,7,4,0.48821792,0.484272,0.0490,0.4734,0.4734,0.0063,0.96161792,0.957672,0.9997626078874018,0.961389639490459
272,4,7,4,0.49769048,0.493668,0.0417,0.46656,0.46656,0.0014,0.96425048,0.960228,0.9989587872483732,0.9632464901044617
272,5,7,4,0.47624112,0.472392,0.0476,0.48768,0.48768,0.0018,0.96392112,0.960072,0.9998591934491523,0.9637853935918035
272,6,7,4,0.49028664,0.486324,0.0432,0.47358,0.47358,0.0038,0.96386664,0.959904,0.9996996595173793,0.9635771518281604
272,7,7,4,0.49573064,0.491724,0.0463,0.46584,0.46584,0.0082,0.96157064,0.957564,0.9990346415845338,0.9606423796906108
272,8,7,4,0.48511484,0.481194,0.0536,0.47526,0.47526,0.0065,0.96037484,0.956454,0.99989471369612,0.960273725682757
272,9,7,4,0.5188132,0.51462,0.0423,0.44388,0.44388,0.0039,0.9626932,0.9585,0.993977879105176,0.956895745164975
320,0,7,4,0.44357712,0.439992,0.0364,0.52254,0.52254,0.0015,0.96611712,0.962532,0.993364175412749,0.9597061362609399
320,1,7,4,0.44363156,0.440046,0.0412,0.52128,0.52128,0.0009,0.96491156,0.961326,0.9935659099766619,0.9587032321584005
320,2,7,4,0.45789484,0.454194,0.0446,0.50394,0.50394,0.0063,0.96183484,0.958134,0.9977134915569469,0.9596355965175173
320,3,7,4,0.4499466,0.44631,0.0400,0.51354,0.51354,0.0063,0.9634866,0.95985,0.9956624463531256,0.9593074251844553
320,4,7,4,0.45413848,0.450468,0.0396,0.51048,0.51048,0.0007,0.96461848,0.960948,0.9966000941797053,0.9613388680154841
320,5,7,4,0.43900416,0.435456,0.0449,0.52524,0.52524,0.0010,0.96424416,0.960696,0.9920650950047094,0.9565929741981363
320,6,7,4,0.45032768,0.446688,0.0390,0.51426,0.51426,0.0031,0.96458768,0.960948,0.9956262510963143,0.9603688156920912
320,7,7,4,0.45658828,0.452898,0.0487,0.5031,0.5031,0.0112,0.95968828,0.955998,0.9976566049947826,0.9574393512780822
320,8,7,4,0.45016436,0.446526,0.0455,0.5124,0.5124,0.0050,0.96256436,0.958926,0.9958369941527458,0.9585571989409616
320,9,7,4,0.46812956,0.464346,0.0458,0.49374,0.49374,0.0027,0.96186956,0.958086,0.9992915748940788,0.9611881474550746
368,0,7,4,0.412383,0.40905,0.0363,0.5532,0.5532,0.0016,0.965583,0.96225,0.9791747060675337,0.9454744502088073
368,1,7,4,0.4170104,0.41364,0.0342,0.54936,0.54936,0.0003,0.9663704,0.963,0.9815885700129544,0.9485781390388467
368,2,7,4,0.42713624,0.423684,0.0348,0.53688,0.53688,0.0046,0.96401624,0.960564,0.987206220703872,0.9516828289875567
368,3,7,4,0.41995016,0.416556,0.0367,0.54426,0.54426,0.0041,0.96421016,0.960816,0.9836503537431386,0.9484456649667283
368,4,7,4,0.42664628,0.423198,0.0273,0.5403,0.5403,0.0000,0.96694628,0.963498,0.9863728905495779,0.9537695972097615
368,5,7,4,0.41069536,0.407376,0.0352,0.5553,0.5553,0.0012,0.96599536,0.962676,0.9780825567759823,0.9448232115425355
368,6,7,4,0.41630268,0.412938,0.0337,0.54852,0.54852,0.0044,0.96482268,0.961458,0.9815667659387892,0.9470378777119953
368,7,7,4,0.42441424,0.420984,0.0428,0.53628,0.53628,0.0106,0.96069424,0.957264,0.9866224988728071,0.9478425517215122
368,8,7,4,0.41330848,0.409968,0.0415,0.54948,0.54948,0.0063,0.96278848,0.959448,0.9803885798582956,0.943906830611127
368,9,7,4,0.43976632,0.436212,0.0333,0.52488,0.52488,0.0017,0.96464632,0.961092,0.9922750692905052,0.9571944940188308
416,0,7,4,0.38129776,0.378216,0.0287,0.58578,0.58578,0.0007,0.96707776,0.963996,0.9572049694409176,0.9256916377077911
416,1,7,4,0.38864716,0.385506,0.0291,0.5781,0.5781,0.0004,0.96674716,0.963606,0.9630163237376698,0.9309932960070328
416,2,7,4,0.39801084,0.394794,0.0297,0.56718,0.56718,0.0033,0.96519084,0.961974,0.9701959382512445,0.9364242326053068
416,3,7,4,0.39637764,0.393174,0.0315,0.56796,0.56796,0.0048,0.96433764,0.961134,0.9693132300601,0.9347452326969339
416,4,7,4,0.39583324,0.392634,0.0287,0.57054,0.57054,0.0001,0.96637324,0.963174,0.9683508276959824,0.9357883268172482
416,5,7,4,0.378358,0.3753,0.0354,0.58698,0.58698,0.0018,0.965338,0.96228,0.9553792163028874,0.9222638619073967
416,6,7,4,0.38772168,0.384588,0.0323,0.57732,0.57732,0.0030,0.96504168,0.961908,0.9628354482538393,0.9291763385464381
416,7,7,4,0.3957788,0.39258,0.0384,0.5658,0.5658,0.0093,0.9615788,0.95838,0.9696843570034199,0.9324279203861201
416,8,7,4,0.38717728,0.384048,0.0309,0.57804,0.57804,0.0045,0.96521728,0.962088,0.9623700084519774,0.9288961619115946
416,9,7,4,0.40933436,0.406026,0.0277,0.55614,0.55614,0.0013,0.96547436,0.962166,0.9774016332643818,0.9436562163388837
464,0,7,4,0.36115496,0.358236,0.0260,0.60564,0.60564,0.0010,0.96679496,0.963876,0.9398944065698234,0.9086851752038961
464,1,7,4,0.3636592,0.36072,0.0240,0.6036,0.6036,0.0002,0.9672592,0.96432,0.942032024434503,0.9111891423288978
464,2,7,4,0.37525492,0.372222,0.0293,0.58932,0.58932,0.0037,0.96457492,0.961542,0.9530603212778359,0.9192980831517429
464,3,7,4,0.36572792,0.362772,0.0286,0.59958,0.59958,0.0023,0.96530792,0.962352,0.9445651769188582,0.911796246235975
464,4,7,4,0.37133524,0.368334,0.0252,0.59538,0.59538,0.0000,0.96671524,0.963714,0.9490257941761848,0.9174376983832211
464,5,7,4,0.36099164,0.358074,0.0346,0.60354,0.60354,0.0024,0.96453164,0.961614,0.9405250488103033,0.9071661677900819
464,6,7,4,0.36316924,0.360234,0.0273,0.60252,0.60252,0.0027,0.96568924,0.962754,0.9421234480494929,0.9097984765330943
464,7,7,4,0.37394836,0.370926,0.0458,0.58554,0.58554,0.0093,0.95948836,0.956466,0.953623849942346,0.9149909838380677
464,8,7,4,0.36975648,0.366768,0.0308,0.59472,0.59472,0.0045,0.96447648,0.961488,0.9484019427601004,0.9147113673784231
464,9,7,4,0.38227768,0.379188,0.0269,0.58326,0.58326,0.0004,0.96553768,0.962448,0.9584705637027011,0.9254394444257982
512,0,7,4,0.34057664,0.337824,0.0265,0.62562,0.62562,0.0016,0.96619664,0.963444,0.9199341102813567,0.8888372463752364
512,1,7,4,0.34264536,0.339876,0.0234,0.62424,0.62424,0.0000,0.96688536,0.964116,0.9218118253818105,0.891286358636549
512,2,7,4,0.35179128,0.348948,0.0265,0.61302,0.61302,0.0031,0.96481128,0.961968,0.9316981695885593,0.898912903574395
512,3,7,4,0.34553068,0.342738,0.0244,0.62022,0.62022,0.0025,0.96575068,0.962958,0.9251541691817562,0.8934682679921161
512,4,7,4,0.34955924,0.346734,0.0261,0.6162,0.6162,0.0002,0.96575924,0.962934,0.9291710197710014,0.8973554978840672
512,5,7,4,0.33959672,0.336852,0.0302,0.62526,0.62526,0.0026,0.96485672,0.962112,0.9194080802102086,0.8870970646131188
512,6,7,4,0.34302644,0.340254,0.0278,0.62184,0.62184,0.0033,0.96486644,0.962094,0.9229338020806693,0.89050785196924
512,7,7,4,0.34416968,0.341388,0.0361,0.6171,0.6171,0.0086,0.96126968,0.958488,0.9253994042008762,0.8895583891483669
512,8,7,4,0.34449632,0.341712,0.0286,0.61998,0.61998,0.0039,0.96447632,0.961692,0.9245693090135434,0.8917252047423252
512,9,7,4,0.3595762,0.35667,0.0226,0.60636,0.60636,0.0004,0.9659362,0.96303,0.9387261291986141,0.9067495500788184
