CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,6,4,0.78660356,0.780246,0.2576,0.06882,0.06882,0.0402,0.85542356,0.849066,0.5868254627637504,0.5019843264560148
32,1,6,4,0.76482756,0.758646,0.2648,0.08832,0.08832,0.0354,0.85314756,0.846966,0.6139573952519085,0.5237962537031213
32,2,6,4,0.75252412,0.746442,0.2591,0.10728,0.10728,0.0283,0.85980412,0.853722,0.639720614546698,0.5500344200361829
32,3,6,4,0.7414728,0.73548,0.2655,0.11652,0.11652,0.0207,0.8579928,0.852,0.6533594701031432,0.5605777211603121
32,4,6,4,0.76450092,0.758322,0.2646,0.0891,0.0891,0.0395,0.85360092,0.847422,0.6149847709500502,0.5249515662689521
32,5,6,4,0.7480056,0.74196,0.2653,0.10884,0.10884,0.0184,0.8568456,0.8508,0.6424900936868206,0.55051480981914
32,6,6,4,0.7610712,0.75492,0.2664,0.09228,0.09228,0.0315,0.8533512,0.8472,0.6194934094486613,0.5286454443451064
32,7,6,4,0.76967272,0.763452,0.2603,0.08664,0.08664,0.0184,0.85631272,0.850092,0.6111587882287001,0.5233430443000222
32,8,6,4,0.74958436,0.743526,0.2675,0.10476,0.10476,0.0396,0.85434436,0.848286,0.6370799855200067,0.5442856924978994
32,9,6,4,0.76722292,0.761022,0.2634,0.08748,0.08748,0.0402,0.85470292,0.848502,0.6125582576861347,0.5235553315144518
80,0,6,4,0.73210912,0.726192,0.1194,0.20046,0.20046,0.0165,0.93256912,0.926652,0.7547149451468974,0.7038238522464904
80,1,6,4,0.72552188,0.719658,0.1256,0.20382,0.20382,0.0233,0.92934188,0.923478,0.7603794094987878,0.7066524299368933
80,2,6,4,0.70679452,0.701082,0.1216,0.2262,0.2262,0.0177,0.93299452,0.927282,0.7903026732553242,0.7373480632885681
80,3,6,4,0.67010196,0.664686,0.1169,0.26982,0.26982,0.0011,0.93992196,0.934506,0.8464799455009119,0.7956250894759103
