simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.4578404,0.45414,0.0000,0.46158,0.46158,0.0000,0.9194204,0.91572,0.9999834569780337,0.9194051900081266
2,1,1,0.46154232,0.457812,0.0000,0.45684,0.45684,0.0000,0.91838232,0.914652,0.9999737840291224,0.9183582437158444
3,1,1,0.45762264,0.453924,0.0000,0.46134,0.46134,0.0000,0.91896264,0.915264,0.9999836368683296,0.9189476028933216
4,1,1,0.45843924,0.454734,0.0000,0.45966,0.45966,0.0000,0.91809924,0.914394,0.9999982320069334,0.9180976168069092
5,1,1,0.46061684,0.456894,0.0000,0.45786,0.45786,0.0000,0.91847684,0.914754,0.9999909908713052,0.9184685653239452
6,1,1,0.45909252,0.455382,0.0000,0.45888,0.45888,0.0000,0.91797252,0.914262,0.9999999464030309,0.9179724707994552
7,1,1,0.45849368,0.454788,0.0000,0.4605,0.4605,0.0000,0.91899368,0.915288,0.9999952337887711,0.9189892998820032
8,1,1,0.46116124,0.457434,0.0000,0.45786,0.45786,0.0000,0.91902124,0.915294,0.9999870967980043,0.9190093816833019
9,1,1,0.4608346,0.45711,0.0000,0.45738,0.45738,0.0000,0.9182146,0.91449,0.9999858452891496,0.9182016029378384
10,1,1,0.46018132,0.456462,0.0000,0.45822,0.45822,0.0000,0.91840132,0.914682,0.999995439316496,0.9183971314622498
1,2,2,0.46067128,0.456948,0.0146,0.49002,0.49002,0.0034,0.95069128,0.946968,0.9990478933089512,0.9497861204711903
2,2,2,0.46067128,0.456948,0.0098,0.49188,0.49188,0.0000,0.95255128,0.948828,0.9989277174278355,0.951529875863363
3,2,2,0.46883728,0.465048,0.0120,0.48258,0.48258,0.0001,0.95141728,0.947628,0.9997914007592966,0.9512188150777999
4,2,2,0.4556628,0.45198,0.0104,0.4968,0.4968,0.0000,0.9524628,0.94878,0.9981380670816795,0.9506893781592044
5,2,2,0.4592014,0.45549,0.0090,0.49392,0.49392,0.0004,0.9531214,0.94941,0.9986748894935451,0.951858408818933
6,2,2,0.46121568,0.457488,0.0104,0.49086,0.49086,0.0001,0.95207568,0.948348,0.9990314563343473,0.951153553130914
7,2,2,0.6127222,0.60777,0.0114,0.32646,0.32646,0.0007,0.9391822,0.93423,0.9149945428599916,0.8593465877512412
8,2,2,0.47139596,0.467586,0.0087,0.4806,0.4806,0.0012,0.95199596,0.948186,0.9999065356067195,0.9519069822751931
9,2,2,0.4526686,0.44901,0.0100,0.50016,0.50016,0.0000,0.9528286,0.94917,0.997521877304445,0.9504673738213661
10,2,2,0.46965388,0.465858,0.0100,0.48234,0.48234,0.0001,0.95199388,0.948198,0.9998224534641966,0.9518248567844999
1,3,3,0.45032768,0.446688,0.0215,0.51234,0.51234,0.0002,0.96266768,0.959028,0.9958675770074532,0.9586895299449864
2,3,3,0.45446512,0.450792,0.0189,0.50838,0.50838,0.0001,0.96284512,0.959172,0.9968743177525439,0.9598355721013663
3,3,3,0.43094704,0.427464,0.0251,0.53034,0.53034,0.0067,0.96128704,0.957804,0.9894224078821618,0.9511189377827161
4,3,3,0.5346008,0.53028,0.0186,0.42324,0.42324,0.0007,0.9578408,0.95352,0.9866633420476145,0.9450664048775608
5,3,3,0.43187252,0.428382,0.0188,0.5325,0.5325,0.0007,0.96437252,0.960882,0.9892293838469407,0.9539856337585214
6,3,3,0.540317,0.53595,0.0190,0.41664,0.41664,0.0003,0.956957,0.95259,0.9835714605191723,0.9412355941440456
7,3,3,0.46050796,0.456786,0.0240,0.50004,0.50004,0.0026,0.96054796,0.956826,0.9983090710424902,0.958923741639359
8,3,3,0.5277958,0.52353,0.0201,0.4302,0.4302,0.0001,0.9579958,0.95373,0.9897280961469259,0.9481553592507511
9,3,3,0.43813312,0.434592,0.0210,0.52446,0.52446,0.0031,0.96259312,0.959052,0.9920213830185038,0.9549129581864966
10,3,3,0.45626164,0.452574,0.0227,0.50526,0.50526,0.0012,0.96152164,0.957834,0.9974098874766206,0.9590311907587357
1,4,4,0.50841516,0.504306,0.0315,0.45336,0.45336,0.0045,0.96177516,0.957666,0.9967339097640545,0.9586339155407491
2,4,4,0.38804832,0.384912,0.0327,0.58122,0.58122,0.0010,0.96926832,0.966132,0.9617982837128819,0.9322406066332684
3,4,4,0.52060972,0.516402,0.0311,0.44166,0.44166,0.0004,0.96226972,0.958062,0.9933135758954805,0.9558355765491428
4,4,4,0.44063736,0.437076,0.0426,0.52026,0.52026,0.0104,0.96089736,0.957336,0.993180581154356,0.9543445984344865
5,4,4,0.44308716,0.439506,0.0368,0.52014,0.52014,0.0073,0.96322716,0.959646,0.9936415740851612,0.9571025514639794
6,4,4,0.4447748,0.44118,0.0374,0.51888,0.51888,0.0037,0.9636548,0.96006,0.994121132185794,0.9579896008122749
7,4,4,0.52088192,0.516672,0.0345,0.44004,0.44004,0.0015,0.96092192,0.956712,0.9929719632383844,0.9541685254211978
8,4,4,0.44428484,0.440694,0.0325,0.52188,0.52188,0.0002,0.96616484,0.962574,0.9935912318780067,0.9599729135728172
9,4,4,0.52431164,0.520074,0.0325,0.43584,0.43584,0.0072,0.96015164,0.955914,0.9915810733012796,0.9520681937231839
10,4,4,0.52387612,0.519642,0.0318,0.43734,0.43734,0.0022,0.96121612,0.956982,0.9919601678802201,0.9534881037643739
1,5,5,0.47618668,0.472338,0.0392,0.49026,0.49026,0.0007,0.96644668,0.962598,0.999787995418437,0.9662417888760036
2,5,5,0.43002156,0.426546,0.0439,0.5358,0.5358,0.0069,0.96582156,0.962346,0.9881471673168792,0.9543738386475693
3,5,5,0.42234552,0.418932,0.0461,0.54474,0.54474,0.0023,0.96708552,0.963672,0.9842350453281897,0.9518394606134359
4,5,5,0.43263468,0.429138,0.0620,0.52554,0.52554,0.0169,0.95817468,0.954678,0.9906861789247774,0.9492504124716713
5,5,5,0.40704788,0.403758,0.0396,0.5625,0.5625,0.0022,0.96954788,0.966258,0.9749370970667958,0.945248195594466
6,5,5,0.40100504,0.397764,0.0362,0.56946,0.56946,0.0017,0.97046504,0.967224,0.9707506966475659,0.9420796136521079
7,5,5,0.43922192,0.435672,0.0443,0.52584,0.52584,0.0079,0.96506192,0.961512,0.9920086125056761,0.9573497362412637
8,5,5,0.42833392,0.424872,0.0498,0.53628,0.53628,0.0069,0.96461392,0.961152,0.9876319331041415,0.9526835105087638
9,5,5,0.49687388,0.492858,0.0399,0.46764,0.46764,0.0032,0.96451388,0.960498,0.9990821807348582,0.9636286305794394
10,5,5,0.5003036,0.49626,0.0393,0.4644,0.4644,0.0022,0.9647036,0.96066,0.9986167933748796,0.9633692155892025
1,6,6,0.42256328,0.419148,0.0596,0.54282,0.54282,0.0053,0.96538328,0.961968,0.9847197031683615,0.9506319369252992
2,6,6,0.51505684,0.510894,0.0530,0.44628,0.44628,0.0085,0.96133684,0.957174,0.9949076757828631,0.9564414011288421
3,6,6,0.4630122,0.45927,0.0547,0.50112,0.50112,0.0058,0.9641322,0.96039,0.9984401723094324,0.9626283198970721
4,6,6,0.45805816,0.454356,0.0502,0.5085,0.5085,0.0025,0.96655816,0.962856,0.9972839068010747,0.9639328979552583
5,6,6,0.42185556,0.418446,0.0676,0.53784,0.53784,0.0176,0.95969556,0.956286,0.9856042251593707,0.9458799988026884
6,6,6,0.46731296,0.463536,0.0495,0.49734,0.49734,0.0083,0.96465296,0.960876,0.9990320292043583,0.9637192041067907
7,6,6,0.41091312,0.407592,0.0491,0.55854,0.55854,0.0019,0.96945312,0.966132,0.9773367858421004,0.947482196325396
8,6,6,0.46725852,0.463482,0.0587,0.49416,0.49416,0.0113,0.96141852,0.957642,0.999217674498746,0.9606663777744262
9,6,6,0.46148788,0.457758,0.0708,0.49482,0.49482,0.0196,0.95630788,0.952578,0.9987866024527233,0.9551474983639666
10,6,6,0.468184,0.4644,0.0569,0.49452,0.49452,0.0072,0.962704,0.95892,0.9992521935877823,0.9619840837757323
1,7,7,0.3546766,0.35181,0.0738,0.61092,0.61092,0.0118,0.9655966,0.96273,0.9342102057730981,0.902070198379804
2,7,7,0.5106472,0.50652,0.0593,0.45162,0.45162,0.0058,0.9622672,0.95814,0.9962512895524259,0.9586599388940021
3,7,7,0.4951318,0.49113,0.0635,0.4674,0.4674,0.0040,0.9625318,0.95853,0.9991705970206146,0.9617334732573268
4,7,7,0.4412362,0.43767,0.0609,0.5238,0.5238,0.0075,0.9650362,0.96147,0.9927335076989978,0.9580237718825116
