CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
176,9,5,8,0.3873406,0.38421,0.0465,0.58284,0.58284,0.0026,0.9701806,0.96705,0.9609788974414598,0.9323230833070939
224,0,5,8,0.27960384,0.277344,0.0355,0.69648,0.69648,0.0003,0.97608384,0.973824,0.8457329648556655,0.8255062799509031
224,1,5,8,0.24949852,0.247482,0.0482,0.72438,0.72438,0.0059,0.97387852,0.971862,0.8079031680610508,0.7867995416146074
224,2,5,8,0.39262128,0.389448,0.0374,0.57636,0.57636,0.0022,0.96898128,0.965808,0.9652920217912567,0.9353498988490798
224,3,5,8,0.38293096,0.379836,0.0388,0.58566,0.58566,0.0041,0.96859096,0.965496,0.9580308106021627,0.927939982550727
224,4,5,8,0.3323562,0.32967,0.0462,0.63678,0.63678,0.0061,0.9691362,0.96645,0.9101909529917724,0.882099001456825
224,5,5,8,0.2779162,0.27567,0.0386,0.69744,0.69744,0.0021,0.9753562,0.97311,0.8438773118424812,0.8230809681448974
224,6,5,8,0.37770472,0.374652,0.0420,0.5904,0.5904,0.0043,0.96810472,0.965052,0.953953337106948,0.9235267283129875
224,7,5,8,0.43399568,0.430488,0.0310,0.53424,0.53424,0.0024,0.96823568,0.964728,0.9893946032466777,0.9579671564628772
224,8,5,8,0.44281496,0.439236,0.0402,0.52248,0.52248,0.0027,0.96529496,0.961716,0.9932350047372115,0.9587647441684064
224,9,5,8,0.34035888,0.337608,0.0396,0.63126,0.63126,0.0015,0.97161888,0.968868,0.9177348106744825,0.8916884688845527
272,0,5,8,0.25363596,0.251586,0.0288,0.72306,0.72306,0.0003,0.97669596,0.974646,0.8123477230454857,0.7934167392137248
272,1,5,8,0.21623568,0.214488,0.0390,0.75942,0.75942,0.0048,0.97565568,0.973908,0.7633839002185142,0.7447998382687466
272,2,5,8,0.35064804,0.347814,0.0330,0.6192,0.6192,0.0011,0.96984804,0.967014,0.9287860688245152,0.9007813484287612
272,3,5,8,0.33829016,0.335556,0.0440,0.62892,0.62892,0.0036,0.96721016,0.964476,0.9171873360427933,0.887112910043924
272,4,5,8,0.29081848,0.288468,0.0380,0.68022,0.68022,0.0050,0.97103848,0.968688,0.8614648536519001,0.8365155220635635
272,5,5,8,0.24666764,0.244674,0.0243,0.73068,0.73068,0.0013,0.97734764,0.975354,0.8030495016594225,0.7848585352500126
272,6,5,8,0.34019556,0.337446,0.0358,0.6288,0.6288,0.0035,0.96899556,0.966246,0.9185199932873717,0.8900417952666929
272,7,5,8,0.38674176,0.383616,0.0329,0.5799,0.5799,0.0034,0.96664176,0.963516,0.9616035195793426,0.9295261185883702
272,8,5,8,0.40291044,0.399654,0.0305,0.56364,0.56364,0.0022,0.96655044,0.963294,0.9730910986960877,0.9405416296047869
272,9,5,8,0.30252308,0.300078,0.0293,0.67122,0.67122,0.0005,0.97374308,0.971298,0.8746095487901231,0.8516449958363047
320,0,5,8,0.22222408,0.220428,0.0216,0.7554,0.7554,0.0004,0.97762408,0.975828,0.7707494049123568,0.7535031778879903
320,1,5,8,0.1899956,0.18846,0.0370,0.78648,0.78648,0.0038,0.9764756,0.97494,0.7282562296101321,0.7111244387622916
320,2,5,8,0.31433656,0.311796,0.0281,0.65634,0.65634,0.0004,0.97067656,0.968136,0.8895688870862021,0.863483667199863
320,3,5,8,0.31156012,0.309042,0.0284,0.65832,0.65832,0.0028,0.96988012,0.967362,0.8866610456405111,0.8599549213451444
320,4,5,8,0.2596788,0.25758,0.0352,0.71208,0.71208,0.0040,0.9717588,0.96966,0.8218711487409863,0.7986605212551624
320,5,5,8,0.21498356,0.213246,0.0247,0.76218,0.76218,0.0014,0.97716356,0.975426,0.761276813476806,0.7438919612024517
320,6,5,8,0.30687828,0.304398,0.0326,0.66264,0.66264,0.0023,0.96951828,0.967038,0.8813290272160089,0.8544646025805381
320,7,5,8,0.352499,0.34965,0.0298,0.61404,0.61404,0.0034,0.966539,0.96369,0.9317737844387861,0.9005957018376799
320,8,5,8,0.3625704,0.35964,0.0313,0.60312,0.60312,0.0028,0.9656904,0.96276,0.941576311279465,0.909271204669991
320,9,5,8,0.2651228,0.26298,0.0244,0.70908,0.70908,0.0008,0.9742028,0.97206,0.8280375932430606,0.8066765418426507
368,0,5,8,0.20246236,0.200826,0.0195,0.77514,0.77514,0.0000,0.97760236,0.975966,0.744513241253324,0.7278379017004989
368,1,5,8,0.17001612,0.168642,0.0292,0.80754,0.80754,0.0033,0.97755612,0.976182,0.701599866202785,0.6858532429977137
368,2,5,8,0.28330576,0.281016,0.0225,0.68766,0.68766,0.0009,0.97096576,0.968676,0.8522048525647428,0.8274617323462135
368,3,5,8,0.28455788,0.282258,0.0250,0.68526,0.68526,0.0030,0.96981788,0.967518,0.8541813733314473,0.8284003686197927
368,4,5,8,0.23610628,0.234198,0.0271,0.73674,0.73674,0.0029,0.97284628,0.970938,0.7906259645920524,0.7691575285247898
368,5,5,8,0.1968006,0.19521,0.0256,0.78012,0.78012,0.0010,0.9769206,0.97533,0.7371757891231061,0.7201622142156183
368,6,5,8,0.27579304,0.273564,0.0282,0.69438,0.69438,0.0016,0.97017304,0.967944,0.8430606635848594,0.8179147268945404
368,7,5,8,0.3290898,0.32643,0.0244,0.6375,0.6375,0.0033,0.9665898,0.96393,0.9076008561799566,0.877277730054813
368,8,5,8,0.336167,0.33345,0.0257,0.6303,0.6303,0.0015,0.966467,0.96375,0.9152297302640533,0.8845393317191088
368,9,5,8,0.2376306,0.23571,0.0224,0.73674,0.73674,0.0005,0.9743706,0.97245,0.7921497901806607,0.7718474663482044
416,0,5,8,0.18476936,0.183276,0.0213,0.7926,0.7926,0.0000,0.97736936,0.975876,0.7211024458279748,0.7047834359733224
