simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
1,1,1,0.48576812,0.481842,0.0000,0.43626,0.43626,0.0000,0.92202812,0.918102,0.9971251564821279,0.9193774334359222
2,1,1,0.48375384,0.479844,0.0000,0.43848,0.43848,0.0000,0.92223384,0.918324,0.997595818916453,0.920016622847265
3,1,1,0.48331832,0.479412,0.0000,0.43908,0.43908,0.0000,0.92239832,0.918492,0.9977051070051939,0.920281514557011
4,1,1,0.48435268,0.480438,0.0000,0.43758,0.43758,0.0000,0.92193268,0.918018,0.9974327408507324,0.9195658398922611
5,1,1,0.48282836,0.478926,0.0000,0.43944,0.43944,0.0000,0.92226836,0.918366,0.9977916306685201,0.9202316508383817
6,1,1,0.48402604,0.480114,0.0000,0.43782,0.43782,0.0000,0.92184604,0.917934,0.997493942809291,0.9195358411027315
7,1,1,0.48571368,0.481788,0.0000,0.4368,0.4368,0.0000,0.92251368,0.918588,0.9971965306987478,0.9199274412181349
8,1,1,0.485877,0.48195,0.0000,0.43632,0.43632,0.0000,0.922197,0.91827,0.9971205451683209,0.9195415753925901
9,1,1,0.484516,0.4806,0.0000,0.4371,0.4371,0.0000,0.921616,0.9177,0.9973600131176052,0.9191829458493949
10,1,1,0.48446156,0.480546,0.0000,0.43794,0.43794,0.0000,0.92240156,0.918486,0.9974627388920417,0.920061186395892
1,2,2,0.48789128,0.483948,0.0143,0.46422,0.46422,0.0033,0.95211128,0.948168,0.9993822685623308,0.9515231309301846
2,2,2,0.48310056,0.479196,0.0097,0.47106,0.47106,0.0001,0.95416056,0.950256,0.9998407859833567,0.9540086442647198
3,2,2,0.49420632,0.490212,0.0107,0.459,0.459,0.0003,0.95320632,0.949212,0.9986376917348668,0.9519077591518869
4,2,2,0.47379132,0.469962,0.0114,0.48102,0.48102,0.0000,0.95481132,0.950982,0.9999426863602792,0.9547565962880041
5,2,2,0.48026968,0.476388,0.0111,0.4737,0.4737,0.0006,0.95396968,0.950088,0.9999525759442625,0.9539244388887238
6,2,2,0.48402604,0.480114,0.0116,0.46956,0.46956,0.0000,0.95358604,0.949674,0.9997699196020231,0.9533666385444116
7,2,2,0.63542368,0.630288,0.0129,0.306,0.306,0.0016,0.94142368,0.936288,0.8909126217345863,0.8387262389118222
8,2,2,0.49496848,0.490968,0.0136,0.45726,0.45726,0.0016,0.95222848,0.948228,0.9984342760237105,0.9507375530379584
9,2,2,0.4758056,0.47196,0.0090,0.47946,0.47946,0.0001,0.9552656,0.95142,0.9999853655120508,0.9552516201770885
10,2,2,0.49551288,0.491508,0.0129,0.45714,0.45714,0.0001,0.95265288,0.948648,0.9983801479181627,0.9511097232490637
1,3,3,0.47123264,0.467424,0.0204,0.49278,0.49278,0.0002,0.96401264,0.960204,0.9995006491894934,0.9635312595068775
2,3,3,0.47939864,0.475524,0.0223,0.48354,0.48354,0.0001,0.96293864,0.959064,0.9999815038768649,0.962920829368343
3,3,3,0.44406708,0.440478,0.0265,0.51846,0.51846,0.0055,0.96252708,0.958938,0.9940618562488728,0.9568114558346072
4,3,3,0.55670344,0.552204,0.0232,0.40098,0.40098,0.0016,0.95768344,0.953184,0.974240917620114,0.9330143933751874
5,3,3,0.44706128,0.443448,0.0209,0.51792,0.51792,0.0008,0.96498128,0.961368,0.9946369306914167,0.9598060185138746
6,3,3,0.56301848,0.558468,0.0236,0.3942,0.3942,0.0003,0.95721848,0.952668,0.9698341683428889,0.9283431884732443
7,3,3,0.4866936,0.48276,0.0242,0.47508,0.47508,0.0014,0.9617736,0.95784,0.9998542110177999,0.961633384005749
8,3,3,0.5441278,0.53973,0.0246,0.41418,0.41418,0.0003,0.9583078,0.95391,0.981944286124417,0.9410048685584605
9,3,3,0.46312108,0.459378,0.0309,0.49746,0.49746,0.0046,0.96058108,0.956838,0.9987237064748967,0.9593550965872593
