CW,simulation_seed,wifi_node_count,nru_node_count,wifi_channel_occupancy,wifi_channel_efficiency,wifi_collision_probability,nru_channel_occupancy,nru_channel_efficiency,nru_collision_probability,total_channel_occupancy,total_network_efficiency,jain's_fairness_index,joint_airtime_fairness
32,0,2,5,0.64070436,0.635526,0.0604,0.31986,0.31986,0.0124,0.96056436,0.955386,0.8996308552913838,0.8641533367492207
32,1,2,5,0.65088464,0.645624,0.0665,0.30822,0.30822,0.0039,0.95910464,0.953844,0.8868032692563707,0.8505371303109543
32,2,2,5,0.59922108,0.594378,0.0654,0.36168,0.36168,0.0100,0.96090108,0.956058,0.9424083881705085,0.9055612379941008
32,3,2,5,0.70641344,0.700704,0.0595,0.25224,0.25224,0.0090,0.95865344,0.952944,0.8166930070159689,0.7829255605998027
32,4,2,5,0.70047948,0.694818,0.0629,0.25584,0.25584,0.0175,0.95631948,0.950658,0.8222485491514703,0.7863323049552885
32,5,2,5,0.62567892,0.620622,0.0710,0.32928,0.32928,0.0247,0.95495892,0.949902,0.9121300059348973,0.8710466853671832
32,6,2,5,0.688666,0.6831,0.0651,0.26928,0.26928,0.0036,0.957946,0.95238,0.8391610844370528,0.803871004192137
32,7,2,5,0.6935656,0.68796,0.0643,0.26364,0.26364,0.0092,0.9572056,0.9516,0.8321318527830031,0.7965212694222661
32,8,2,5,0.62339244,0.618354,0.0585,0.34002,0.34002,0.0039,0.96341244,0.958374,0.9203739726859649,0.8866997347378788
32,9,2,5,0.69144244,0.685854,0.0640,0.2664,0.2664,0.0069,0.95784244,0.952254,0.835481963022215,0.8002600820371881
80,0,2,5,0.4268096,0.42336,0.0331,0.54234,0.54234,0.0041,0.9691496,0.9657,0.9859885594609931,0.9555704180061977
80,1,2,5,0.48495152,0.481032,0.0305,0.48168,0.48168,0.0059,0.96663152,0.962712,0.999988545601727,0.9666204478175866
80,2,2,5,0.3895182,0.38637,0.0269,0.58332,0.58332,0.0023,0.9728382,0.96969,0.961829108937525,0.9357040990463857
80,3,2,5,0.50776188,0.503658,0.0278,0.45942,0.45942,0.0025,0.96718188,0.963078,0.9975080050461429,0.964771667635578
80,4,2,5,0.49643836,0.492426,0.0355,0.46686,0.46686,0.0109,0.96329836,0.959286,0.9990580729422329,0.9623910032100134
80,5,2,5,0.41390732,0.410562,0.0358,0.55302,0.55302,0.0117,0.96692732,0.963582,0.9797209243202891,0.9473189277009401
80,6,2,5,0.4924098,0.48843,0.0256,0.47562,0.47562,0.0033,0.9680298,0.96405,0.9996992656993243,0.9677386802350638
80,7,2,5,0.4915932,0.48762,0.0260,0.47742,0.47742,0.0006,0.9690132,0.96504,0.9997861134155832,0.9688059410763973
80,8,2,5,0.42523084,0.421794,0.0268,0.54672,0.54672,0.0003,0.97195084,0.968514,0.9846165553451638,0.9569988880456384
80,9,2,5,0.49289976,0.488916,0.0287,0.47262,0.47262,0.0104,0.96551976,0.961536,0.9995590272680754,0.9650939921137056
128,0,2,5,0.32424464,0.321624,0.0217,0.64614,0.64614,0.0026,0.97038464,0.967764,0.9008702828554063,0.8741906851153416
128,1,2,5,0.382441,0.37935,0.0210,0.58392,0.58392,0.0040,0.966361,0.96327,0.9583417342991909,0.9261040766991004
128,2,2,5,0.29898448,0.296568,0.0175,0.67398,0.67398,0.0014,0.97296448,0.970548,0.8706667615369581,0.8471278328920905
128,3,2,5,0.387885,0.38475,0.0145,0.58038,0.58038,0.0003,0.968265,0.96513,0.9619796319926669,0.9314512083713796
128,4,2,5,0.37955568,0.376488,0.0264,0.58464,0.58464,0.0071,0.96419568,0.961128,0.956716934411896,0.9224623351427934
128,5,2,5,0.31417324,0.311634,0.0307,0.6531,0.6531,0.0083,0.96727324,0.964734,0.8906496280130145,0.8615015513929434
128,6,2,5,0.37432944,0.371304,0.0207,0.59196,0.59196,0.0045,0.96628944,0.963264,0.9517234673378342,0.9196403362887341
128,7,2,5,0.37623484,0.373194,0.0134,0.59328,0.59328,0.0000,0.96951484,0.966474,0.952274190524927,0.9232439594629042
